#: table_doi: 10.17182/hepdata.71277.v1/t1,,,,,,,,,,,,,,,,
#: name: Table 1,,,,,,,,,,,,,,,,
#: description: $p_{\rm T}$-differential yield of prompt D$_s^+$ mesons in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$=2.76 TeV in the centrality class 0-10% in the rapidity interval |y|<0.5.,,,,,,,,,,,,,,,,
Branching ratio of D$_s^+$->$\phi\pi^+$->$K^+K^-\pi^+$ : 0.0224.,,,,,,,,,,,,,,,,
The second (sys) error is the systematic uncertainty from the B feed-down contribution.,,,,,,,,,,,,,,,,
The first (sys) error is the systematic uncertainty from the other sources.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#: data_file: Table1.yaml,,,,,,,,,,,,,,,,
#: keyword reactions: PB PB --> D/s+ X,,,,,,,,,,,,,,,,
#: keyword observables: DN/DPT,,,,,,,,,,,,,,,,
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Charm production | Strange production,,,,,,,,,,,,,,,,
#: keyword cmenergies: 2760.0,,,,,,,,,,,,,,,,
#: CENTRALITY [pct],,,0.0-10.0,,,,,,,,,,,,,
#: RE,,,PB PB --> D/s+ X,,,,,,,,,,,,,
#: SQRT(S)/NUCLEON [GeV],,,2760,,,,,,,,,,,,,
#: YRAP,,,-1,,,,,,,,,,,,,
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(N)/DPT [GEV**-1],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,"sys,uncertainty on branching ratio +","sys,uncertainty on branching ratio -",,,,,
5,4,6,0.0373,0.0142,-0.0142,0.0104,-0.0104,0.00448,-0.0133,4.50%,-4.50%,,,,0.00746,0.00284
7,6,8,0.00485,0.00197,-0.00197,0.00136,-0.00136,0.000924,-0.00193,4.50%,-4.50%,,,,0.000692857,0.000281429
10,8,12,0.000734,0.00021,-0.00021,0.000207,-0.000207,0.000108,-0.000276,4.50%,-4.50%,,,,0.0000734,0.000021
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,7,10,,,,,,,,,,,,,,
0.00746,0.000692857,0.0000734,,,,,,,,,,,,,,
0.00284,0.000281429,0.000021,,,,,,,,,,,,,,
