#: table_doi: 10.17182/hepdata.127980.v1/t1,,,,,,,,,,,,,,
#: name: Table 1,,,,,,,,,,,,,,
#: description: $p_\mathrm{T}$-differential production yield of prompt $\mathrm{D_s^+}$ mesons in the 0-10% centrality class in Pb-Pb collisions at $\sqrt{{s_\mathrm{NN}}}=5.02~\mathrm{{TeV}}$ in the rapidity interval $|y|<0.5$.,,,,,,,,,,,,,,
Branching ratio of $\mathrm{D_s^+\to \phi\pi^+\to K^-K^+\pi^+}$: 0.0224,,,,,,,,,,,,,,
#: data_file: table_1.yaml,,,,,,,,,,,,,,
#: keyword observables: DN/DPT,,,,,,,,,,,,,,
#: keyword reactions: PBPB --> Ds + X,,,,,,,,,,,,,,
#: keyword cmenergies: 5020.0,,,,,,,,,,,,,,
#: CENTRALITY,,,0.0-10.0 pct,,,,,,,,,,,
#: REACTION,,,PBPB --> Ds + X,,,,,,,,,,,
#: SQRT(S)/NUCLEON [GEV],,,5020,,,,,,,,,,,
#: YRAP,,,-0.5 TO 0.5,,,,,,,,,,,
$p_\mathrm{T}$ [$\mathrm{GeV}/c$],$p_\mathrm{T}$ [$\mathrm{GeV}/c$] LOW,$p_\mathrm{T}$ [$\mathrm{GeV}/c$] HIGH,$\mathrm{d}N/\mathrm{d}p_\mathrm{T}$ [$\mathrm{GeV}^{-1}~c$],stat +,stat -,sys +,sys -,"sys, branching ratio unc. (%) +","sys, branching ratio unc. (%) -",,,,,
2.5,2,3,0.3943,0.055913,-0.055913,0.077088,-0.09579,3.5714,-3.5714,,0.15772,0.0223652,,
3.5,3,4,0.13508,0.01301,-0.01301,0.024667,-0.032184,3.5714,-3.5714,,0.038594286,0.003717143,,
4.5,4,5,0.047561,0.0035721,-0.0035721,0.0089874,-0.012159,3.5714,-3.5714,,0.010569111,0.0007938,,
5.5,5,6,0.015908,0.0011442,-0.0011442,0.003014,-0.0042957,3.5714,-3.5714,,0.002892364,0.000208036,,
7,6,8,0.0047236,0.00033274,-0.00033274,0.00086076,-0.0012537,3.5714,-3.5714,,0.0006748,4.75343E-05,,
10,8,12,0.00090024,4.51E-05,-4.51E-05,0.00016428,-0.00024028,3.5714,-3.5714,,0.000090024,0.000004512,,
14,12,16,0.00020899,1.23E-05,-1.23E-05,3.30E-05,-4.68E-05,3.5714,-3.5714,,1.49279E-05,8.76429E-07,,
20,16,24,4.43E-05,3.36E-06,-3.36E-06,6.14E-06,-9.58E-06,3.5714,-3.5714,,2.2162E-06,1.68055E-07,,
30,24,36,8.11E-06,1.11E-06,-1.11E-06,1.25E-06,-2.03E-06,3.5714,-3.5714,,2.70463E-07,3.698E-08,,
43,36,50,1.35E-06,4.71E-07,-4.71E-07,2.09E-07,-3.46E-07,3.5714,-3.5714,,3.13372E-08,1.09484E-08,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,2.5,3.5,4.5,5.5,7,10,14,20,30,43
,,,,,0.15772,0.038594286,0.010569111,0.002892364,0.0006748,0.000090024,1.49279E-05,2.2162E-06,2.70463E-07,3.13372E-08
,,,,,0.0223652,0.003717143,0.0007938,0.000208036,4.75343E-05,0.000004512,8.76429E-07,1.68055E-07,3.698E-08,1.09484E-08
