#: table_doi: 10.17182/hepdata.94384.v1/t1,,,,,,,,,,,,,,,,
#: name: Table 1,,,,,,,,,,,,,,,,
#: description: Transverse momentum dependence of the inclusive J/$\psi$ yields in Pb$-$Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV at midrapidity in the centrality intervals 0$-$20%, 20$-$40%, and 40$-$90%.,,,,,,,,,,,,,,
#: data_file: data1.yaml,,,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,,,
#: keyword reactions: PB PB --> J/PSI X,,,,,,,,,,,,,,,,
#: keyword observables: D2N/DPT/DYRAP,,,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,,,
#: keyword cmenergies: 5020.0,,,,,,,,,,,,,,,,
#: RE,,,PB PB --> J/PSI <E+ E-> X,,,,,,,,,,,,,
#: SQRT(S)/NUCLEON [GEV],,,5020,,,,,,,,,,,,,
#: YRAP,,,-0.9 TO 0.9,,,,,,,,,,,,,
#: CENTRALITY,,,0 TO 20%,,,,,,,,,,,,,
PT [GeV/c],PT [GeV/c] LOW,PT [GeV/c] HIGH,D2N/DPT/DYRAP [(GeV/c)^{-1}],stat +,stat -,sys +,sys -,,,,,,,,,
0.725,0.15,1.3,2.34E-02,4.60E-03,-4.60E-03,2.87E-03,-2.87E-03,5.14E-03,1.01E-03,,,,,,,
2.15,1.3,3,3.30E-02,3.55E-03,-3.55E-03,2.71E-03,-2.71E-03,2.44E-03,2.63E-04,,,,,,,
4,3,5,9.13E-03,1.07E-03,-1.07E-03,7.43E-04,-7.43E-04,3.63E-04,4.26E-05,,,,0.725,2.15,4,7.5
7.5,5,10,6.47E-04,1.21E-04,-1.21E-04,4.68E-05,-4.68E-05,1.37E-05,2.57E-06,,,,0.005136863,0.002442843,0.000363271,1.37298E-05
,,,,,,,,,,,,,0.001009811,0.000262791,4.25739E-05,2.5677E-06
#: RE,,,PB PB --> J/PSI <E+ E-> X,,,,,,,,,,,,,
#: SQRT(S)/NUCLEON [GEV],,,5020,,,,,,,,,,,,,
#: YRAP,,,-0.9 TO 0.9,,,,,,,,,,,,,
#: CENTRALITY,,,20 TO 40 %,,,,,,,,,,,,,
PT [GeV/c],PT [GeV/c] LOW,PT [GeV/c] HIGH,D2N/DPT/DYRAP [(GeV/c)^{-1}],stat +,stat -,sys +,sys -,,,,,,,,,
0.725,0.15,1.3,7.06E-03,1.73E-03,-1.73E-03,8.64E-04,-8.64E-04,,,,,,,,,
2.15,1.3,3,1.03E-02,1.32E-03,-1.32E-03,8.45E-04,-8.45E-04,,,,,,,,,
4,3,5,2.79E-03,4.24E-04,-4.24E-04,2.27E-04,-2.27E-04,,,,,,,,,
7.5,5,10,4.05E-04,5.68E-05,-5.68E-05,2.93E-05,-2.93E-05,,,,,,,,,
,,,,,,,,,,,,,,,,
#: RE,,,PB PB --> J/PSI <E+ E-> X,,,,,,,,,,,,,
#: SQRT(S)/NUCLEON [GEV],,,5020,,,,,,,,,,,,,
#: YRAP,,,-0.9 TO 0.9,,,,,,,,,,,,,
#: CENTRALITY,,,40 TO 90 %,,,,,,,,,,,,,
PT [GeV/c],PT [GeV/c] LOW,PT [GeV/c] HIGH,D2N/DPT/DYRAP [(GeV/c)^{-1}],stat +,stat -,sys +,sys -,,,,,,,,,
0.725,0.15,1.3,1.39E-03,2.53E-04,-2.53E-04,1.70E-04,-1.70E-04,,,,,,,,,
2.15,1.3,3,8.03E-04,1.92E-04,-1.92E-04,6.60E-05,-6.60E-05,,,,,,,,,
4,3,5,5.70E-04,6.82E-05,-6.82E-05,4.64E-05,-4.64E-05,,,,,,,,,
7.5,5,10,7.42E-05,1.14E-05,-1.14E-05,5.36E-06,-5.36E-06,,,,,,,,,
