          %pt            TT            TS            SS            SS2j            Tot
       0.2750    2.79595E+02    1.55841E-01    1.93185E-02    6.05721E-06    2.79770E+02
       0.3250    2.16625E+02    1.50967E-01    1.63285E-02    7.02896E-06    2.16793E+02
       0.3750    1.68047E+02    1.44419E-01    1.40425E-02    7.77324E-06    1.68205E+02
       0.4250    1.30529E+02    1.33293E-01    1.22171E-02    8.21677E-06    1.30674E+02
       0.4750    1.01521E+02    1.21969E-01    1.07139E-02    8.41407E-06    1.01654E+02
       0.5250    7.90663E+01    1.09162E-01    9.44799E-03    8.36696E-06    7.91850E+01
       0.5750    6.16631E+01    9.71699E-02    8.36433E-03    8.13978E-06    6.17687E+01
       0.6250    4.81581E+01    8.52790E-02    7.42535E-03    7.76303E-06    4.82508E+01
       0.6750    3.76646E+01    7.46291E-02    6.60441E-03    7.29307E-06    3.77458E+01
       0.7250    2.95002E+01    6.47163E-02    5.88188E-03    6.76058E-06    2.95708E+01
       0.4500    1.15096E+02    1.27241E-01    1.14314E-02    8.33991E-06    1.15234E+02
       0.5500    6.98125E+01    1.02844E-01    8.88604E-03    8.27050E-06    6.99242E+01
       0.6500    4.25817E+01    7.96829E-02    7.00148E-03    7.53568E-06    4.26684E+01
       0.7500    2.61221E+01    6.01727E-02    5.55273E-03    6.48298E-06    2.61878E+01
       0.8500    1.61189E+01    4.47802E-02    4.41614E-03    5.37108E-06    1.61681E+01
       0.9500    1.00053E+01    3.30800E-02    3.51516E-03    4.34724E-06    1.00419E+01
       1.0500    6.24721E+00    2.43701E-02    2.79766E-03    3.47227E-06    6.27438E+00
       1.1500    3.92337E+00    1.79574E-02    2.22562E-03    2.75545E-06    3.94356E+00
       1.2500    2.47792E+00    1.32596E-02    1.76984E-03    2.18175E-06    2.49295E+00
       1.3500    1.57353E+00    9.82278E-03    1.40726E-03    1.72804E-06    1.58477E+00
       1.4500    1.00442E+00    7.30581E-03    1.11934E-03    1.37109E-06    1.01285E+00
       1.5500    6.44283E-01    5.45787E-03    8.91066E-04    1.09062E-06    6.50633E-01
       1.6500    4.15162E-01    4.09642E-03    7.10291E-04    8.70036E-07    4.19969E-01
       1.7500    2.68652E-01    3.08930E-03    5.67206E-04    6.96167E-07    2.72309E-01
       1.8500    1.74518E-01    2.34101E-03    4.53938E-04    5.58738E-07    1.77314E-01
       1.9500    1.13769E-01    1.78247E-03    3.64207E-04    4.49776E-07    1.15916E-01
