#: table_doi: 10.17182/hepdata.94313.v1/t56
#: name: Lambda pT spectrum, Au+Au 19.6 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau19_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 19.6
#: Centrality,,,0-5%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5018,0.4,0.6,3.069,0.045,-0.045,0.149,-0.149
0.7,0.6,0.8,2.3753,0.022,-0.022,0.0922,-0.0922
0.8986,0.8,1.0,1.7399,0.0138,-0.0138,0.0557,-0.0557
1.0976,1.0,1.2,1.1802,0.009,-0.009,0.0368,-0.0368
1.2967,1.2,1.4,0.7236,0.0056,-0.0056,0.0188,-0.0188
1.496,1.4,1.6,0.4218,0.0035,-0.0035,0.0125,-0.0125
1.6955,1.6,1.8,0.22894,0.00197,-0.00197,0.00636,-0.00636
1.895,1.8,2.0,0.1205,0.00114,-0.00114,0.00316,-0.00316
2.1367,2.0,2.3,0.05368,0.00046,-0.00046,0.00206,-0.00206
2.4366,2.3,2.6,0.018814,0.000195,-0.000195,0.000634,-0.000634
2.7765,2.6,3.0,0.005639,7.1e-05,-7.1e-05,0.000207,-0.000207
3.1767,3.0,3.4,0.0013491,2.9e-05,-2.9e-05,5.11e-05,-5.11e-05
3.6145,3.4,3.9,0.000262,1.06e-05,-1.06e-05,1.18e-05,-1.18e-05
4.1154,3.9,4.4,4.504e-05,4.15e-06,-4.15e-06,2.08e-06,-2.08e-06
4.652,4.4,5.0,7.84e-06,1.47e-06,-1.47e-06,5.1e-07,-5.1e-07

