#: table_doi: 10.17182/hepdata.94313.v1/t57
#: name: Lambda pT spectrum, Au+Au 27 GeV, 60-80%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau27_cent0.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,60-80%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.4996,0.4,0.6,0.12243,0.00243,-0.00243,0.00777,-0.00777
0.6977,0.6,0.8,0.07508,0.00101,-0.00101,0.00379,-0.00379
0.8964,0.8,1.0,0.04384,0.00054,-0.00054,0.00232,-0.00232
1.0955,1.0,1.2,0.02346,0.00028,-0.00028,0.00131,-0.00131
1.2948,1.2,1.4,0.012579,0.000161,-0.000161,0.000799,-0.000799
1.4944,1.4,1.6,0.006104,8.2e-05,-8.2e-05,0.000401,-0.000401
1.6941,1.6,1.8,0.003006,4.4e-05,-4.4e-05,0.0002,-0.0002
1.8939,1.8,2.0,0.001471,2.4e-05,-2.4e-05,0.0001,-0.0001
2.1364,2.0,2.3,0.0006169,9.4e-06,-9.4e-06,4.67e-05,-4.67e-05
2.4364,2.3,2.6,0.0002134,4.3e-06,-4.3e-06,1.81e-05,-1.81e-05
2.7762,2.6,3.0,6.477e-05,1.65e-06,-1.65e-06,4.57e-06,-4.57e-06
3.1767,3.0,3.4,1.492e-05,6.9e-07,-6.9e-07,1.09e-06,-1.09e-06
3.6148,3.4,3.9,2.604e-06,2.73e-07,-2.73e-07,1.98e-07,-1.98e-07
4.116,3.9,4.4,5.648e-07,9.63e-08,-9.63e-08,4.5e-08,-4.5e-08
4.6533,4.4,5.0,8.77e-08,3.86e-08,-3.86e-08,8e-09,-8e-09
5.3821,5.0,6.0,1.342e-08,8.49e-09,-8.49e-09,1.63e-09,-1.63e-09

