#: table_doi: 10.17182/hepdata.94313.v1/t130
#: name: Xi- pT spectrum, Au+Au 27 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau27_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7969,0.6,1.0,0.0923,0.0015,-0.0015,0.00347,-0.00347
1.1444,1.0,1.3,0.04808,0.00061,-0.00061,0.00226,-0.00226
1.4422,1.3,1.6,0.0245,0.00029,-0.00029,0.00103,-0.00103
1.7406,1.6,1.9,0.010638,0.000128,-0.000128,0.000394,-0.000394
2.0395,1.9,2.2,0.004501,6e-05,-6e-05,0.000171,-0.000171
2.3794,2.2,2.6,0.0015777,2.23e-05,-2.23e-05,7.68e-05,-7.68e-05
2.8529,2.6,3.2,0.0003301,7e-06,-7e-06,1.43e-05,-1.43e-05
3.5167,3.2,4.0,3.581e-05,1.68e-06,-1.68e-06,1.57e-06,-1.57e-06
4.3733,4.0,5.0,2.383e-06,3.42e-07,-3.42e-07,1.13e-07,-1.13e-07

