          %pt            TT            TS            SS            SS2j            Tot
       0.2750    7.97579E+01    1.55841E-01    1.93185E-02    6.05721E-06    7.99330E+01
       0.3250    6.52478E+01    1.50967E-01    1.63285E-02    7.02896E-06    6.54151E+01
       0.3750    5.33775E+01    1.44419E-01    1.40425E-02    7.77324E-06    5.35359E+01
       0.4250    4.36667E+01    1.33293E-01    1.22171E-02    8.21677E-06    4.38122E+01
       0.4750    3.57226E+01    1.21969E-01    1.07139E-02    8.41407E-06    3.58552E+01
       0.5250    2.92237E+01    1.09162E-01    9.44799E-03    8.36696E-06    2.93423E+01
       0.5750    2.39071E+01    9.71699E-02    8.36433E-03    8.13978E-06    2.40127E+01
       0.6250    1.95578E+01    8.52790E-02    7.42535E-03    7.76303E-06    1.96505E+01
       0.6750    1.59997E+01    7.46291E-02    6.60441E-03    7.29307E-06    1.60809E+01
       0.7250    1.30889E+01    6.47163E-02    5.88188E-03    6.76058E-06    1.31595E+01
       0.4500    3.94954E+01    1.27241E-01    1.14314E-02    8.33991E-06    3.96341E+01
       0.5500    2.64321E+01    1.02844E-01    8.88604E-03    8.27050E-06    2.65438E+01
       0.6500    1.76895E+01    7.96829E-02    7.00148E-03    7.53568E-06    1.77762E+01
       0.7500    1.18386E+01    6.01727E-02    5.55273E-03    6.48298E-06    1.19043E+01
       0.8500    7.92291E+00    4.47802E-02    4.41614E-03    5.37108E-06    7.97211E+00
       0.9500    5.30236E+00    3.30800E-02    3.51516E-03    4.34724E-06    5.33896E+00
       1.0500    3.54857E+00    2.43701E-02    2.79766E-03    3.47227E-06    3.57574E+00
       1.1500    2.37486E+00    1.79574E-02    2.22562E-03    2.75545E-06    2.39505E+00
       1.2500    1.58936E+00    1.32596E-02    1.76984E-03    2.18175E-06    1.60439E+00
       1.3500    1.06367E+00    9.82278E-03    1.40726E-03    1.72804E-06    1.07490E+00
       1.4500    7.11856E-01    7.30581E-03    1.11934E-03    1.37109E-06    7.20282E-01
       1.5500    4.76405E-01    5.45787E-03    8.91066E-04    1.09062E-06    4.82755E-01
       1.6500    3.18831E-01    4.09642E-03    7.10291E-04    8.70036E-07    3.23639E-01
       1.7500    2.13376E-01    3.08930E-03    5.67206E-04    6.96167E-07    2.17033E-01
       1.8500    1.42801E-01    2.34101E-03    4.53938E-04    5.58738E-07    1.45596E-01
       1.9500    9.55685E-02    1.78247E-03    3.64207E-04    4.49776E-07    9.77156E-02
