          %pt            TT            TS            SS            SS2j            Tot
        0.500    2.48907E+01    1.86918E+00    4.76592E-01    2.84401E-03    2.72393E+01
        0.800    1.15336E+01    1.36195E+00    2.49556E-01    3.30535E-03    1.31484E+01
        1.100    5.34431E+00    8.27864E-01    1.35633E-01    2.71604E-03    6.31052E+00
        1.400    2.47639E+00    4.66751E-01    7.43629E-02    1.88021E-03    3.01938E+00
        1.700    1.14748E+00    2.57222E-01    4.14549E-02    1.20842E-03    1.44737E+00
        2.000    5.31708E-01    1.42094E-01    2.38245E-02    7.60470E-04    6.98387E-01
        2.300    2.46377E-01    7.96561E-02    1.42543E-02    4.80612E-04    3.40768E-01
        2.600    1.14164E-01    4.56082E-02    8.89883E-03    3.08246E-04    1.68979E-01
        2.900    5.29000E-02    2.67678E-02    5.78040E-03    2.01391E-04    8.56496E-02
        3.200    2.45122E-02    1.61361E-02    3.88901E-03    1.34175E-04    4.46715E-02
        3.500    1.13582E-02    1.00002E-02    2.69771E-03    9.11465E-05    2.41473E-02
        3.800    5.26305E-03    6.37218E-03    1.92170E-03    6.30927E-05    1.36200E-02
        4.100    2.43874E-03    4.17228E-03    1.40091E-03    4.44643E-05    8.05639E-03
        4.400    1.13004E-03    2.80374E-03    1.04201E-03    3.18708E-05    5.00765E-03
        4.700    5.23624E-04    1.93047E-03    7.88748E-04    2.32088E-05    3.26605E-03
        5.000    2.42631E-04    1.35918E-03    6.06241E-04    1.71509E-05    2.22520E-03
        5.300    1.12428E-04    9.76462E-04    4.72247E-04    1.28468E-05    1.57398E-03
        5.600    5.20956E-05    7.14310E-04    3.72232E-04    9.74282E-06    1.14838E-03
        5.900    2.41395E-05    5.31012E-04    2.96474E-04    7.47303E-06    8.59098E-04
        6.200    1.11855E-05    4.00418E-04    2.38334E-04    5.79145E-06    6.55729E-04
        6.500    5.18303E-06    3.05790E-04    1.93190E-04    4.53090E-06    5.08694E-04
        6.800    2.40166E-06    2.36163E-04    1.57766E-04    3.57536E-06    3.99907E-04
        7.100    1.11285E-06    1.84225E-04    1.29705E-04    2.84361E-06    3.17887E-04
        7.400    5.15662E-07    1.45001E-04    1.07284E-04    2.27793E-06    2.55079E-04
        7.700    2.38942E-07    1.15049E-04    8.92289E-05    1.83684E-06    2.06354E-04
        8.000    1.10718E-07    9.19444E-05    7.45858E-05    1.49008E-06    1.68131E-04
        8.300    5.13035E-08    7.39632E-05    6.26321E-05    1.21552E-06    1.37862E-04
        8.600    2.37725E-08    5.98544E-05    5.28153E-05    9.96674E-07    1.13690E-04
        8.900    1.10154E-08    4.86978E-05    4.47088E-05    8.21040E-07    9.42387E-05
        9.200    5.10422E-09    3.98195E-05    3.79807E-05    6.79361E-07    7.84846E-05
        9.500    2.36514E-09    3.27045E-05    3.23702E-05    5.64341E-07    6.56414E-05
        9.800    1.09593E-09    2.69755E-05    2.76713E-05    4.70598E-07    5.51185E-05
       10.100    5.07822E-10    2.23327E-05    2.37200E-05    3.93739E-07    4.64469E-05
       10.400    2.35309E-10    1.85538E-05    2.03848E-05    3.30492E-07    3.92693E-05
       10.700    1.09035E-10    1.54662E-05    1.75599E-05    2.78265E-07    3.33045E-05
       11.000    5.05235E-11    1.29287E-05    1.51594E-05    2.34908E-07    2.83230E-05
       11.300    2.34110E-11    1.08393E-05    1.31133E-05    1.98852E-07    2.41515E-05
       11.600    1.08480E-11    9.10839E-06    1.13644E-05    1.68700E-07    2.06415E-05
       11.900    5.02661E-12    7.67185E-06    9.86552E-06    1.43439E-07    1.76808E-05
       12.200    2.32918E-12    6.47702E-06    8.57779E-06    1.22236E-07    1.51771E-05
       12.500    1.07927E-12    5.47780E-06    7.46890E-06    1.04347E-07    1.30510E-05
       12.800    5.00100E-13    4.64225E-06    6.51194E-06    8.92547E-08    1.12435E-05
       13.100    2.31731E-13    3.93954E-06    5.68444E-06    7.64540E-08    9.70044E-06
       13.400    1.07377E-13    3.34831E-06    4.96753E-06    6.55904E-08    8.38144E-06
       13.700    4.97553E-14    2.85041E-06    4.34535E-06    5.63623E-08    7.25211E-06
