          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    1.53182E-01    3.79189E-17    5.52543E-17    9.19682E-19    2.28879E-17    9.14265E-19    1.53182E-01
        0.700    1.61793E-01    1.25311E-17    1.69961E-17    8.40950E-20    2.12578E-17    8.36001E-20    1.61793E-01
        0.899    1.37768E-01    8.45676E-18    1.09654E-17    1.35538E-20    1.95435E-17    1.35005E-20    1.37768E-01
        1.098    1.04487E-01    6.16593E-18    8.12092E-18    3.07321E-21    1.78887E-17    3.07080E-21    1.04487E-01
        1.297    7.38732E-02    4.47457E-18    6.19306E-18    8.76807E-22    1.63654E-17    8.79581E-22    7.38732E-02
        1.496    4.99319E-02    3.22332E-18    4.78337E-18    2.95807E-22    1.50010E-17    2.98084E-22    4.99319E-02
        1.696    3.27310E-02    2.31432E-18    3.73009E-18    1.13260E-22    1.37932E-17    1.14695E-22    3.27310E-02
        1.895    2.10064E-02    1.66289E-18    2.93550E-18    4.79310E-23    1.27303E-17    4.87941E-23    2.10064E-02
        2.138    1.20176E-02    1.11847E-18    2.22132E-18    2.05307E-23    1.15686E-17    2.10650E-23    1.20176E-02
        2.438    5.91082E-03    6.92815E-19    1.59903E-18    7.34581E-24    1.02944E-17    7.60647E-24    5.91082E-03
        2.779    2.59740E-03    4.09519E-19    1.12155E-18    2.59339E-24    9.08414E-18    2.71413E-24    2.59740E-03
        3.179    9.77451E-04    2.26774E-19    7.57186E-19    8.92612E-25    7.95509E-18    9.46478E-25    9.77451E-04
        3.618    3.32883E-04    1.22578E-19    5.05120E-19    2.98515E-25    6.97354E-18    3.19822E-25    3.32883E-04
        4.118    9.74141E-05    6.33139E-20    3.28667E-19    1.05794E-25    6.07019E-18    1.15165E-25    9.74141E-05
        4.656    2.61991E-05    3.26322E-20    2.14390E-19    3.92184E-26    5.28447E-18    4.34235E-26    2.61991E-05
        5.386    4.46471E-06    1.42375E-20    1.25323E-19    1.30425E-26    4.47213E-18    1.49235E-26    4.46471E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    1.85350E-01    3.98533E-17    5.59767E-17    9.19743E-19    2.28879E-17    9.14265E-19    1.85350E-01
        0.700    1.95769E-01    1.40286E-17    1.75404E-17    8.40974E-20    2.12578E-17    8.36001E-20    1.95769E-01
        0.899    1.66700E-01    9.61571E-18    1.13692E-17    1.35540E-20    1.95435E-17    1.35005E-20    1.66700E-01
        1.098    1.26430E-01    7.02443E-18    8.41950E-18    3.07324E-21    1.78887E-17    3.07080E-21    1.26430E-01
        1.297    8.93866E-02    5.09503E-18    6.41519E-18    8.76811E-22    1.63654E-17    8.79581E-22    8.93866E-02
        1.496    6.04176E-02    3.66690E-18    4.95034E-18    2.95808E-22    1.50010E-17    2.98084E-22    6.04176E-02
        1.696    3.96045E-02    2.63040E-18    3.85709E-18    1.13260E-22    1.37932E-17    1.14695E-22    3.96045E-02
        1.895    2.54178E-02    1.88850E-18    3.03329E-18    4.79310E-23    1.27303E-17    4.87941E-23    2.54178E-02
        2.138    1.45412E-02    1.26920E-18    2.29368E-18    2.05307E-23    1.15686E-17    2.10650E-23    1.45412E-02
        2.438    7.15210E-03    7.85657E-19    1.64996E-18    7.34581E-24    1.02944E-17    7.60647E-24    7.15210E-03
        2.779    3.14286E-03    4.64191E-19    1.15653E-18    2.59339E-24    9.08414E-18    2.71413E-24    3.14286E-03
        3.179    1.18272E-03    2.56998E-19    7.80423E-19    8.92612E-25    7.95509E-18    9.46478E-25    1.18272E-03
        3.618    4.02788E-04    1.38931E-19    5.20498E-19    2.98515E-25    6.97354E-18    3.19822E-25    4.02788E-04
        4.118    1.17871E-04    7.17943E-20    3.38665E-19    1.05794E-25    6.07019E-18    1.15165E-25    1.17871E-04
        4.656    3.17009E-05    3.70339E-20    2.20955E-19    3.92184E-26    5.28447E-18    4.34235E-26    3.17009E-05
        5.386    5.40230E-06    1.61823E-20    1.29226E-19    1.30425E-26    4.47213E-18    1.49235E-26    5.40230E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.20582E-01    4.18691E-17    5.66985E-17    9.19803E-19    2.28879E-17    9.14265E-19    2.20582E-01
        0.700    2.32982E-01    1.56078E-17    1.80844E-17    8.40999E-20    2.12578E-17    8.36001E-20    2.32982E-01
        0.899    1.98387E-01    1.08374E-17    1.17728E-17    1.35542E-20    1.95435E-17    1.35005E-20    1.98387E-01
        1.098    1.50462E-01    7.92815E-18    8.71803E-18    3.07326E-21    1.78887E-17    3.07080E-21    1.50462E-01
        1.297    1.06377E-01    5.74727E-18    6.63728E-18    8.76814E-22    1.63654E-17    8.79581E-22    1.06377E-01
        1.496    7.19020E-02    4.13262E-18    5.11729E-18    2.95808E-22    1.50010E-17    2.98084E-22    7.19020E-02
        1.696    4.71326E-02    2.96192E-18    3.98406E-18    1.13260E-22    1.37932E-17    1.14695E-22    4.71326E-02
        1.895    3.02493E-02    2.12491E-18    3.13106E-18    4.79310E-23    1.27303E-17    4.87941E-23    3.02493E-02
        2.138    1.73053E-02    1.42701E-18    2.36603E-18    2.05308E-23    1.15686E-17    2.10650E-23    1.73053E-02
        2.438    8.51159E-03    8.82785E-19    1.70088E-18    7.34582E-24    1.02944E-17    7.60647E-24    8.51159E-03
        2.779    3.74026E-03    5.21357E-19    1.19151E-18    2.59339E-24    9.08414E-18    2.71413E-24    3.74026E-03
        3.179    1.40753E-03    2.88594E-19    8.03658E-19    8.92612E-25    7.95509E-18    9.46478E-25    1.40753E-03
        3.618    4.79351E-04    1.56028E-19    5.35875E-19    2.98515E-25    6.97354E-18    3.19822E-25    4.79351E-04
        4.118    1.40276E-04    8.06654E-20    3.48663E-19    1.05794E-25    6.07019E-18    1.15165E-25    1.40276E-04
        4.656    3.77267E-05    4.16427E-20    2.27519E-19    3.92184E-26    5.28447E-18    4.34235E-26    3.77267E-05
        5.386    6.42919E-06    1.82217E-20    1.33129E-19    1.30425E-26    4.47213E-18    1.49235E-26    6.42919E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.58878E-01    4.39685E-17    5.74198E-17    9.19864E-19    2.28879E-17    9.14265E-19    2.58878E-01
        0.700    2.73430E-01    1.72688E-17    1.86283E-17    8.41023E-20    2.12578E-17    8.36001E-20    2.73430E-01
        0.899    2.32829E-01    1.21219E-17    1.21763E-17    1.35544E-20    1.95435E-17    1.35005E-20    2.32829E-01
        1.098    1.76584E-01    8.87709E-18    9.01649E-18    3.07328E-21    1.78887E-17    3.07080E-21    1.76584E-01
        1.297    1.24846E-01    6.43130E-18    6.85933E-18    8.76817E-22    1.63654E-17    8.79581E-22    1.24846E-01
        1.496    8.43850E-02    4.62049E-18    5.28422E-18    2.95809E-22    1.50010E-17    2.98084E-22    8.43850E-02
        1.696    5.53153E-02    3.30885E-18    4.11103E-18    1.13260E-22    1.37932E-17    1.14695E-22    5.53153E-02
        1.895    3.55009E-02    2.37212E-18    3.22883E-18    4.79311E-23    1.27303E-17    4.87941E-23    3.55009E-02
        2.138    2.03097E-02    1.59190E-18    2.43837E-18    2.05308E-23    1.15686E-17    2.10650E-23    2.03097E-02
        2.438    9.98929E-03    9.84198E-19    1.75179E-18    7.34582E-24    1.02944E-17    7.60647E-24    9.98929E-03
        2.779    4.38961E-03    5.81018E-19    1.22649E-18    2.59339E-24    9.08414E-18    2.71413E-24    4.38961E-03
        3.179    1.65189E-03    3.21562E-19    8.26892E-19    8.92612E-25    7.95509E-18    9.46478E-25    1.65189E-03
        3.618    5.62572E-04    1.73869E-19    5.51251E-19    2.98515E-25    6.97354E-18    3.19822E-25    5.62572E-04
        4.118    1.64630E-04    8.99271E-20    3.58660E-19    1.05794E-25    6.07019E-18    1.15165E-25    1.64630E-04
        4.656    4.42765E-05    4.64584E-20    2.34083E-19    3.92184E-26    5.28447E-18    4.34235E-26    4.42765E-05
        5.386    7.54537E-06    2.03559E-20    1.37032E-19    1.30425E-26    4.47213E-18    1.49235E-26    7.54537E-06
