          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.00562E+00    1.24696E-16    7.31801E-17    9.14556E-19    2.28879E-17    9.14265E-19    2.00562E+00
        0.700    1.90223E+00    8.21418E-17    3.04634E-17    8.31096E-20    2.12578E-17    8.36001E-20    1.90223E+00
        0.899    1.44928E+00    6.02536E-17    2.05042E-17    1.33193E-20    1.95435E-17    1.35005E-20    1.44928E+00
        1.098    9.79965E-01    4.28465E-17    1.48004E-17    3.00383E-21    1.78887E-17    3.07080E-21    9.79965E-01
        1.297    6.15464E-01    2.98344E-17    1.08874E-17    8.52562E-22    1.63654E-17    8.79581E-22    6.15464E-01
        1.496    3.68257E-01    2.06041E-17    8.11661E-18    2.86171E-22    1.50010E-17    2.98084E-22    3.68257E-01
        1.696    2.12919E-01    1.42217E-17    6.12734E-18    1.09027E-22    1.37932E-17    1.14695E-22    2.12919E-01
        1.895    1.20100E-01    9.86217E-18    4.68436E-18    4.59151E-23    1.27303E-17    4.87941E-23    1.20100E-01
        2.138    5.84549E-02    6.38981E-18    3.43714E-18    1.94910E-23    1.15686E-17    2.10650E-23    5.84549E-02
        2.438    2.33804E-02    3.81503E-18    2.39539E-18    6.92033E-24    1.02944E-17    7.60647E-24    2.33804E-02
        2.779    8.04702E-03    2.18726E-18    1.62870E-18    2.42350E-24    9.08414E-18    2.71413E-24    8.04702E-03
        3.179    2.24480E-03    1.18357E-18    1.06954E-18    8.26191E-25    7.95509E-18    9.46478E-25    2.24480E-03
        3.618    5.42478E-04    6.32184E-19    6.99470E-19    2.74897E-25    6.97354E-18    3.19822E-25    5.42478E-04
        4.118    1.05410E-04    3.26705E-19    4.49261E-19    9.64061E-26    6.07019E-18    1.15165E-25    1.05410E-04
        4.656    1.79044E-05    1.70692E-19    2.91573E-19    3.53661E-26    5.28447E-18    4.34235E-26    1.79044E-05
        5.386    1.58492E-06    7.69275E-20    1.71023E-19    1.15072E-26    4.47213E-18    1.49235E-26    1.58492E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.05576E+00    1.25245E-16    7.34478E-17    9.14932E-19    2.28879E-17    9.14265E-19    2.05576E+00
        0.700    1.94979E+00    8.25985E-17    3.06242E-17    8.31468E-20    2.12578E-17    8.36001E-20    1.94979E+00
        0.899    1.48551E+00    6.05914E-17    2.06176E-17    1.33255E-20    1.95435E-17    1.35005E-20    1.48551E+00
        1.098    1.00446E+00    4.30824E-17    1.48816E-17    3.00526E-21    1.78887E-17    3.07080E-21    1.00446E+00
        1.297    6.30851E-01    2.99944E-17    1.09460E-17    8.52972E-22    1.63654E-17    8.79581E-22    6.30851E-01
        1.496    3.77463E-01    2.07112E-17    8.15926E-18    2.86310E-22    1.50010E-17    2.98084E-22    3.77463E-01
        1.696    2.18242E-01    1.42931E-17    6.15871E-18    1.09080E-22    1.37932E-17    1.14695E-22    2.18242E-01
        1.895    1.23102E-01    9.90983E-18    4.70769E-18    4.59373E-23    1.27303E-17    4.87941E-23    1.23102E-01
        2.138    5.99163E-02    6.41919E-18    3.45368E-18    1.95011E-23    1.15686E-17    2.10650E-23    5.99163E-02
        2.438    2.39649E-02    3.83146E-18    2.40644E-18    6.92390E-24    1.02944E-17    7.60647E-24    2.39649E-02
        2.779    8.24819E-03    2.19598E-18    1.63587E-18    2.42473E-24    9.08414E-18    2.71413E-24    8.24819E-03
        3.179    2.30092E-03    1.18788E-18    1.07399E-18    8.26604E-25    7.95509E-18    9.46478E-25    2.30092E-03
        3.618    5.56040E-04    6.34273E-19    7.02206E-19    2.75024E-25    6.97354E-18    3.19822E-25    5.56040E-04
        4.118    1.08046E-04    3.27674E-19    4.50901E-19    9.64497E-26    6.07019E-18    1.15165E-25    1.08046E-04
        4.656    1.83520E-05    1.71146E-19    2.92564E-19    3.53817E-26    5.28447E-18    4.34235E-26    1.83520E-05
        5.386    1.62455E-06    7.71052E-20    1.71554E-19    1.15125E-26    4.47213E-18    1.49235E-26    1.62455E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.10590E+00    1.25794E-16    7.37144E-17    9.15301E-19    2.28879E-17    9.14265E-19    2.10590E+00
        0.700    1.99734E+00    8.30551E-17    3.07848E-17    8.31832E-20    2.12578E-17    8.36001E-20    1.99734E+00
        0.899    1.52174E+00    6.09291E-17    2.07309E-17    1.33316E-20    1.95435E-17    1.35005E-20    1.52174E+00
        1.098    1.02896E+00    4.33182E-17    1.49628E-17    3.00666E-21    1.78887E-17    3.07080E-21    1.02896E+00
        1.297    6.46237E-01    3.01543E-17    1.10046E-17    8.53373E-22    1.63654E-17    8.79581E-22    6.46237E-01
        1.496    3.86670E-01    2.08183E-17    8.20191E-18    2.86445E-22    1.50010E-17    2.98084E-22    3.86670E-01
        1.696    2.23565E-01    1.43645E-17    6.19007E-18    1.09131E-22    1.37932E-17    1.14695E-22    2.23565E-01
        1.895    1.26105E-01    9.95749E-18    4.73102E-18    4.59589E-23    1.27303E-17    4.87941E-23    1.26105E-01
