          %pt            TT            TS            SS            SS2j            Tot
        0.447    1.15876E+00    2.78018E-17    2.38230E-17    6.67044E-35    1.15876E+00
        0.550    1.00005E+00    2.28240E-17    1.86038E-17    5.20907E-35    1.00005E+00
        0.656    8.23931E-01    1.85384E-17    1.48968E-17    4.17111E-35    8.23931E-01
        0.805    5.98288E-01    1.37762E-17    1.13291E-17    3.17214E-35    5.98288E-01
        0.950    4.22124E-01    1.02819E-17    8.94443E-18    2.50444E-35    4.22124E-01
        1.148    2.53021E-01    6.90130E-18    6.72274E-18    1.88237E-35    2.53021E-01
        1.489    9.82769E-02    3.48238E-18    4.40701E-18    1.23396E-35    9.82769E-02
        1.842    3.54365E-02    1.74091E-18    3.05452E-18    8.55267E-36    3.54365E-02
        2.224    1.14273E-02    8.34392E-19    2.16037E-18    6.09254E-36    1.14273E-02
        2.722    2.57019E-03    3.28214E-19    1.45947E-18    4.19131E-36    2.57019E-03
        3.386    3.44530E-04    9.76727E-20    9.39474E-19    2.76898E-36    3.44530E-04
        4.381    1.67264E-05    1.66567E-20    5.49447E-19    1.65873E-36    1.67264E-05
