          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.450    7.58085E+00    1.74943E-13    5.50353E-15    1.76745E-16    2.69138E-17    4.81975E-18    7.58085E+00
        0.550    7.25126E+00    3.72227E-14    1.19964E-15    3.72874E-17    2.57505E-17    1.02045E-18    7.25126E+00
        0.650    6.45816E+00    1.01657E-14    3.49024E-16    1.00789E-17    2.45355E-17    2.77004E-19    6.45816E+00
        0.750    5.46786E+00    3.33910E-15    1.30926E-16    3.25136E-18    2.33144E-17    8.97816E-20    5.46786E+00
        0.850    4.45937E+00    1.27201E-15    6.22411E-17    1.19799E-18    2.21197E-17    3.32485E-20    4.45937E+00
        0.950    3.53468E+00    5.50358E-16    3.62413E-17    4.89728E-19    2.09731E-17    1.36641E-20    3.53468E+00
        1.050    2.74014E+00    2.66840E-16    2.44915E-17    2.17653E-19    1.98870E-17    6.10642E-21    2.74014E+00
        1.150    2.08699E+00    1.43304E-16    1.82157E-17    1.03632E-19    1.88675E-17    2.92401E-21    2.08699E+00
        1.250    1.56700E+00    8.41530E-17    1.43493E-17    5.22803E-20    1.79166E-17    1.48368E-21    1.56700E+00
        1.350    1.16288E+00    5.32515E-17    1.16961E-17    2.77072E-20    1.70329E-17    7.90962E-22    1.16288E+00
        1.450    8.54630E-01    3.57714E-17    9.73569E-18    1.53226E-20    1.62136E-17    4.40039E-22    8.54630E-01
        1.550    6.22984E-01    2.51628E-17    8.21590E-18    8.79433E-21    1.54549E-17    2.54089E-22    6.22984E-01
        1.650    4.50989E-01    1.83278E-17    7.00082E-18    5.21530E-21    1.47525E-17    1.51604E-22    4.50989E-01
        1.750    3.24544E-01    1.37037E-17    6.00949E-18    3.18395E-21    1.41020E-17    9.31242E-23    3.24544E-01
        1.850    2.32354E-01    1.04515E-17    5.18937E-18    1.99492E-21    1.34991E-17    5.87085E-23    2.32354E-01
        1.950    1.65608E-01    8.09420E-18    4.50402E-18    1.27945E-21    1.29398E-17    3.78869E-23    1.65608E-01
