          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.450    7.34641E+00    1.71317E-13    5.44620E-15    1.74904E-16    2.69138E-17    4.81975E-18    7.34641E+00
        0.550    7.02701E+00    3.64513E-14    1.18715E-15    3.68990E-17    2.57505E-17    1.02045E-18    7.02701E+00
        0.650    6.25844E+00    9.95498E-15    3.45388E-16    9.97387E-18    2.45355E-17    2.77004E-19    6.25844E+00
        0.750    5.29876E+00    3.26990E-15    1.29562E-16    3.21749E-18    2.33144E-17    8.97816E-20    5.29876E+00
        0.850    4.32146E+00    1.24564E-15    6.15928E-17    1.18551E-18    2.21197E-17    3.32485E-20    4.32146E+00
        0.950    3.42537E+00    5.38952E-16    3.58638E-17    4.84626E-19    2.09731E-17    1.36641E-20    3.42537E+00
        1.050    2.65540E+00    2.61310E-16    2.42364E-17    2.15386E-19    1.98870E-17    6.10642E-21    2.65540E+00
        1.150    2.02245E+00    1.40334E-16    1.80259E-17    1.02552E-19    1.88675E-17    2.92401E-21    2.02245E+00
        1.250    1.51854E+00    8.24089E-17    1.41999E-17    5.17357E-20    1.79166E-17    1.48368E-21    1.51854E+00
        1.350    1.12691E+00    5.21479E-17    1.15743E-17    2.74186E-20    1.70329E-17    7.90962E-22    1.12691E+00
        1.450    8.28200E-01    3.50301E-17    9.63428E-18    1.51630E-20    1.62136E-17    4.40039E-22    8.28200E-01
        1.550    6.03718E-01    2.46413E-17    8.13032E-18    8.70272E-21    1.54549E-17    2.54089E-22    6.03718E-01
        1.650    4.37041E-01    1.79480E-17    6.92790E-18    5.16097E-21    1.47525E-17    1.51604E-22    4.37041E-01
        1.750    3.14507E-01    1.34197E-17    5.94689E-18    3.15078E-21    1.41020E-17    9.31242E-23    3.14507E-01
        1.850    2.25168E-01    1.02349E-17    5.13532E-18    1.97414E-21    1.34991E-17    5.87085E-23    2.25168E-01
        1.950    1.60487E-01    7.92645E-18    4.45710E-18    1.26612E-21    1.29398E-17    3.78869E-23    1.60487E-01
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.450    7.40456E+00    1.72220E-13    5.46053E-15    1.75364E-16    2.69138E-17    4.81975E-18    7.40456E+00
        0.550    7.08264E+00    3.66434E-14    1.19027E-15    3.69961E-17    2.57505E-17    1.02045E-18    7.08264E+00
        0.650    6.30797E+00    1.00074E-14    3.46297E-16    1.00001E-17    2.45355E-17    2.77004E-19    6.30797E+00
