% table_doi: 10.17182/hepdata.94313.v1/t69
% name: Lambda pT spectrum   Au+Au 39 GeV   5-10%
% description: Data from STAR beam energy scan (Phase I) at RHIC   for mid-rapidity (|y|<0.5)
% data_file: fig6_lambda_auau39_cent5.yaml
% keyword reactions: Au+Au
% keyword observables: Lambda pT spectrum
% keyword cmenergies: 39
% Centrality      5-10%
%pT [GeV/c]  pT [GeV/c] LOW  pT [GeV/c] HIGH  d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2]  stat +  stat -  sys +  sys -
0.5018  0.4  0.6  2.05  0.03  -0.03  0.154  -0.154
0.7001  0.6  0.8  1.621  0.015  -0.015  0.128  -0.128
0.8988  0.8  1.0  1.208  0.0096  -0.0096  0.0768  -0.0768
1.0978  1.0  1.2  0.8258  0.0062  -0.0062  0.0578  -0.0578
1.297  1.2  1.4  0.5401  0.0042  -0.0042  0.034  -0.034
1.4964  1.4  1.6  0.3221  0.0025  -0.0025  0.0226  -0.0226
1.6959  1.6  1.8  0.1864  0.0015  -0.0015  0.012  -0.012
1.8955  1.8  2.0  0.1045  0.00093  -0.00093  0.00563  -0.00563
2.1381  2.0  2.3  0.04936  0.00037  -0.00037  0.00313  -0.00313
2.4379  2.3  2.6  0.01866  0.00016  -0.00016  0.00127  -0.00127
2.7786  2.6  3.0  0.00615  5.4e-05  -5.4e-05  0.000434  -0.000434
3.1788  3.0  3.4  0.001724  2.1e-05  -2.1e-05  0.000114  -0.000114
3.6175  3.4  3.9  0.0004329  8.2e-06  -8.2e-06  3e-05  -3e-05
4.1182  3.9  4.4  8.703e-05  3.18e-06  -3.18e-06  6.15e-06  -6.15e-06
4.6558  4.4  5.0  1.659e-05  1.27e-06  -1.27e-06  1.26e-06  -1.26e-06
5.3863  5.0  6.0  2.44e-06  3.29e-07  -3.29e-07  2.43e-07  -2.43e-07

