%table_doi: 10.17182/hepdata.94313.v1/t67
%name: Lambda pT spectrum   Au+Au 39 GeV   20-30%
%description: Data from STAR beam energy scan (Phase I) at RHIC   for mid-rapidity (|y|<0.5)
%data_file: fig6_lambda_auau39_cent3.yaml
%keyword reactions: Au+Au
%keyword observables: Lambda pT spectrum
%keyword cmenergies: 39
%Centrality      20-30%
%pT [GeV/c]  pT [GeV/c] LOW  pT [GeV/c] HIGH  d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2]  stat +  stat -  sys +  sys -
0.5013  0.4  0.6  1.1235  0.0133  -0.0133  0.0718  -0.0718
0.6995  0.6  0.8  0.8523  0.0066  -0.0066  0.0389  -0.0389
0.8982  0.8  1.0  0.6094  0.0041  -0.0041  0.0289  -0.0289
1.0973  1.0  1.2  0.4072  0.0027  -0.0027  0.018  -0.018
1.2966  1.2  1.4  0.25081  0.00167  -0.00167  0.00838  -0.00838
1.4961  1.4  1.6  0.15034  0.00104  -0.00104  0.00677  -0.00677
1.6957  1.6  1.8  0.08535  0.00063  -0.00063  0.00396  -0.00396
1.8953  1.8  2.0  0.04663  0.00036  -0.00036  0.00171  -0.00171
2.1383  2.0  2.3  0.02215  0.00015  -0.00015  0.00112  -0.00112
2.4381  2.3  2.6  0.008468  6.2e-05  -6.2e-05  0.000368  -0.000368
2.779  2.6  3.0  0.0029  2.2e-05  -2.2e-05  0.00015  -0.00015
3.1792  3.0  3.4  0.0008256  8.3e-06  -8.3e-06  3.85e-05  -3.85e-05
3.6183  3.4  3.9  0.0002072  3e-06  -3e-06  1.02e-05  -1.02e-05
4.1189  3.9  4.4  4.715e-05  1.24e-06  -1.24e-06  2.31e-06  -2.31e-06
4.6569  4.4  5.0  9.371e-06  4.98e-07  -4.98e-07  5.25e-07  -5.25e-07
5.389  5.0  6.0  1.271e-06  1.3e-07  -1.3e-07  1.11e-07  -1.11e-07

