%Au+Au sqrt(s_NN) = 39 GeV

%cen   0-10%
%pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4467     8.4938e-001     6.0449e-002     1.2802e-001     1.4157e-001
0.5       0.6        0.5497     8.0693e-001     3.6207e-002     1.1791e-001     1.2334e-001
0.6       0.7        0.6559     6.7136e-001     2.1185e-002     9.5354e-002     9.7679e-002
0.7       0.9        0.8049     5.4457e-001     9.9147e-003     7.4507e-002     7.5164e-002
0.9       1.0        0.9502     4.0815e-001     1.0125e-002     5.4132e-002     5.5071e-002
1.0       1.3        1.1477     2.6870e-001     4.4800e-003     3.4528e-002     3.4818e-002
1.3       1.7        1.4892     1.1602e-001     2.7577e-003     1.4476e-002     1.4736e-002
1.7       2.0        1.8419     3.6398e-002     1.7306e-003     4.5360e-003     4.8549e-003
2.0       2.5        2.2245     1.0039e-002     5.0642e-004     1.2807e-003     1.3771e-003
2.5       3.0        2.7221     1.9192e-003     1.7877e-004     2.5667e-004     3.1279e-004
3.0       4.0        3.3865     2.4989e-004     3.0650e-005     3.5525e-005     4.6919e-005
4.0       5.0        4.3813     1.6832e-005     5.3755e-006     2.2991e-006     5.8465e-006
