%cen   20-30%
%pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4469     3.7803e-001     2.4802e-002     5.0118e-002     5.5919e-002
0.5       0.6        0.5497     3.5975e-001     1.4208e-002     4.6295e-002     4.8427e-002
0.6       0.7        0.6563     3.2252e-001     9.4361e-003     4.0391e-002     4.1479e-002
0.7       0.9        0.8051     2.4510e-001     3.9407e-003     2.9618e-002     2.9879e-002
0.9       1.0        0.9503     1.7585e-001     3.8650e-003     2.0633e-002     2.0992e-002
1.0       1.3        1.1479     1.1550e-001     1.7775e-003     1.3160e-002     1.3280e-002
1.3       1.7        1.4895     4.6128e-002     1.0705e-003     5.1279e-003     5.2385e-003
1.7       2.0        1.8421     1.4776e-002     6.2141e-004     1.6520e-003     1.7650e-003
2.0       2.5        2.2250     4.9916e-003     2.5223e-004     5.7802e-004     6.3066e-004
2.5       3.0        2.7225     1.1250e-003     8.9053e-005     1.3965e-004     1.6563e-004
3.0       4.0        3.3881     1.1892e-004     1.3381e-005     1.6565e-005     2.1294e-005
4.0       5.0        4.3830     9.3721e-006     2.7561e-006     1.4393e-006     3.1093e-006
