%#Au+Au sqrt(s_NN) = 39 GeV
%#cen   40-60%
%#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4449     1.4995e-001     9.0567e-003     1.8982e-002     2.1032e-002
0.5       0.6        0.5494     1.2024e-001     4.2786e-003     1.4969e-002     1.5568e-002
0.6       0.7        0.6527     1.0530e-001     2.7138e-003     1.2921e-002     1.3203e-002
0.7       0.9        0.8027     7.7126e-002     1.1232e-003     9.2993e-003     9.3669e-003
0.9       1.0        0.9500     5.2168e-002     1.0121e-003     6.2107e-003     6.2926e-003
1.0       1.3        1.1457     3.0609e-002     4.0561e-004     3.6084e-003     3.6312e-003
1.3       1.7        1.4865     1.0900e-002     2.2311e-004     1.2855e-003     1.3047e-003
1.7       2.0        1.8409     3.4469e-003     1.3630e-004     4.1398e-004     4.3584e-004
2.0       2.5        2.2231     1.1077e-003     5.1146e-005     1.3782e-004     1.4700e-004
2.5       3.0        2.7223     2.3545e-004     1.5229e-005     3.0899e-005     3.4448e-005
3.0       4.0        3.3944     3.0560e-005     2.9157e-006     4.3037e-006     5.1984e-006
4.0       5.0        4.3989     2.0930e-006     4.9396e-007     2.9979e-007     5.7781e-007
