#: table_doi: 10.17182/hepdata.94313.v1/t332
#: name: AntiLambda/K0S, Au+Au 27 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig29_auau27_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda/K0S
#: keyword cmenergies: 27
#: Centrality,0-5%
pT [GeV/c],AntiLambda/K0S,stat +,stat -
0.5018,0.0677,0.0014,-0.0014
0.7004,0.099,0.0014,-0.0014
0.8993,0.154,0.0018,-0.0018
1.0982,0.2314,0.0027,-0.0027
1.2974,0.3286,0.0041,-0.0041
1.4966,0.4174,0.0056,-0.0056
1.6959,0.512,0.0075,-0.0075
1.8954,0.5941,0.0098,-0.0098
2.1372,0.685,0.011,-0.011
2.437,0.756,0.016,-0.016
2.7771,0.766,0.021,-0.021
3.1773,0.764,0.034,-0.034
3.6154,0.637,0.05,-0.05
4.1162,0.539,0.087,-0.087
4.6531,0.53,0.17,-0.17

