#: table_doi: 10.17182/hepdata.94313.v1/t309
#: name: AntiLambda/K0S, Au+Au 7.7 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig29_auau7_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda/K0S
#: keyword cmenergies: 7.7
#: Centrality,10-20%
pT [GeV/c],AntiLambda/K0S,stat +,stat -
0.502,0.0106,0.001,-0.001
0.7004,0.0161,0.0011,-0.0011
0.8988,0.0265,0.0015,-0.0015
1.0976,0.0413,0.0023,-0.0023
1.2964,0.0609,0.0035,-0.0035
1.4955,0.0703,0.0051,-0.0051
1.6943,0.0951,0.007,-0.007
1.9367,0.1116,0.0097,-0.0097
2.2753,0.114,0.017,-0.017
2.7104,0.127,0.042,-0.042

