#: table_doi: 10.17182/hepdata.94313.v1/t88
#: name: AntiLambda pT spectrum, Au+Au 19.6 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig7_lambdabar_auau19_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda pT spectrum
#: keyword cmenergies: 19.6
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5015,0.4,0.6,0.235,0.0042,-0.0042,0.0106,-0.0106
0.6996,0.6,0.8,0.1764,0.00208,-0.00208,0.00773,-0.00773
0.8982,0.8,1.0,0.12123,0.00123,-0.00123,0.00403,-0.00403
1.0971,1.0,1.2,0.0799,0.00079,-0.00079,0.00285,-0.00285
1.2963,1.2,1.4,0.04688,0.00051,-0.00051,0.00201,-0.00201
1.4956,1.4,1.6,0.026611,0.000299,-0.000299,0.00096,-0.00096
1.6952,1.6,1.8,0.013888,0.000174,-0.000174,0.000571,-0.000571
1.8948,1.8,2.0,0.007399,0.000111,-0.000111,0.000288,-0.000288
2.1363,2.0,2.3,0.003188,4.6e-05,-4.6e-05,0.000148,-0.000148
2.4362,2.3,2.6,0.0010609,2.23e-05,-2.23e-05,4.35e-05,-4.35e-05
2.7757,2.6,3.0,0.0003164,8.7e-06,-8.7e-06,1.29e-05,-1.29e-05
3.176,3.0,3.4,7.111e-05,3.72e-06,-3.72e-06,3.04e-06,-3.04e-06
3.6481,3.4,4.0,1.041e-05,1.09e-06,-1.09e-06,5e-07,-5e-07
4.3131,4.0,4.8,1.194e-06,2.98e-07,-2.98e-07,6.9e-08,-6.9e-08

