#: table_doi: 10.17182/hepdata.94313.v1/t96
#: name: AntiLambda pT spectrum, Au+Au 27 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig7_lambdabar_auau27_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5018,0.4,0.6,0.4365,0.0062,-0.0062,0.0223,-0.0223
0.7002,0.6,0.8,0.3322,0.0031,-0.0031,0.0171,-0.0171
0.8988,0.8,1.0,0.2515,0.0019,-0.0019,0.0114,-0.0114
1.0978,1.0,1.2,0.17222,0.0013,-0.0013,0.0062,-0.0062
1.2969,1.2,1.4,0.10846,0.00085,-0.00085,0.00448,-0.00448
1.4962,1.4,1.6,0.06365,0.00052,-0.00052,0.00246,-0.00246
1.6957,1.6,1.8,0.03571,0.0003,-0.0003,0.00142,-0.00142
1.8952,1.8,2.0,0.019326,0.000184,-0.000184,0.000634,-0.000634
2.1372,2.0,2.3,0.008821,7.6e-05,-7.6e-05,0.000359,-0.000359
2.437,2.3,2.6,0.003152,3.5e-05,-3.5e-05,0.000142,-0.000142
2.7771,2.6,3.0,0.0009807,1.42e-05,-1.42e-05,3.78e-05,-3.78e-05
3.1773,3.0,3.4,0.00024249,5.7e-06,-5.7e-06,9.97e-06,-9.97e-06
3.6155,3.4,3.9,5.425e-05,2.19e-06,-2.19e-06,2.23e-06,-2.23e-06
4.1162,3.9,4.4,9.321e-06,8.44e-07,-8.44e-07,4.73e-07,-4.73e-07
4.6532,4.4,5.0,1.47e-06,3.04e-07,-3.04e-07,8.4e-08,-8.4e-08

