#: table_doi: 10.17182/hepdata.94313.v1/t164
#: name: AntiXi+ pT spectrum, Au+Au 27 GeV, 30-40%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig9_xibar_auau27_cent2.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiXi+ pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,30-40%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7951,0.6,1.0,0.02568,0.00055,-0.00055,0.00131,-0.00131
1.1436,1.0,1.3,0.013203,0.000229,-0.000229,0.000542,-0.000542
1.4416,1.3,1.6,0.00624,0.000101,-0.000101,0.000243,-0.000243
1.7402,1.6,1.9,0.002833,4.9e-05,-4.9e-05,0.000119,-0.000119
2.0392,1.9,2.2,0.0011477,2.27e-05,-2.27e-05,5.39e-05,-5.39e-05
2.3789,2.2,2.6,0.0003705,8.5e-06,-8.5e-06,2.21e-05,-2.21e-05
2.8524,2.6,3.2,8.126e-05,2.73e-06,-2.73e-06,3.8e-06,-3.8e-06
3.5171,3.2,4.0,9.304e-06,6.62e-07,-6.62e-07,4.44e-07,-4.44e-07
4.3762,4.0,5.0,4.78e-07,1.35e-07,-1.35e-07,2.6e-08,-2.6e-08

