#: table_doi: 10.17182/hepdata.94313.v1/t295
#: name: K0S Rcp(0-5%/40-60%), Au+Au 27 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_k0s_auau27.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 27
#: particles,K0S
pT [GeV/c],Rcp,stat +,stat -,sys +,sys -
0.3003,0.617,0.013,-0.013,0.031,-0.031
0.4965,0.734,0.009,-0.009,0.021,-0.021
0.6949,0.812,0.009,-0.009,0.025,-0.025
0.8942,0.909,0.009,-0.009,0.019,-0.019
1.0939,0.95,0.01,-0.01,0.03,-0.03
1.2937,0.946,0.011,-0.011,0.019,-0.019
1.4937,0.99,0.013,-0.013,0.025,-0.025
1.6937,0.979,0.015,-0.015,0.016,-0.016
1.8938,0.973,0.016,-0.016,0.032,-0.032
2.1362,0.938,0.015,-0.015,0.042,-0.042
2.4365,0.928,0.02,-0.02,0.039,-0.039
2.7767,0.894,0.023,-0.023,0.027,-0.027
3.1773,0.858,0.035,-0.035,0.026,-0.026
3.616,0.841,0.056,-0.056,0.026,-0.026
4.1172,0.777,0.1,-0.1,0.024,-0.024
4.655,0.96,0.25,-0.25,0.03,-0.03

