#: table_doi: 10.17182/hepdata.94313.v1/t282
#: name: K0S Rcp(0-5%/40-60%), Au+Au 7.7 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_k0s_auau7.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 7.7
#: particles,K0S
pT [GeV/c],Rcp,stat +,stat -,sys +,sys -
0.3002,0.724,0.035,-0.035,0.055,-0.055
0.4964,0.824,0.024,-0.024,0.044,-0.044
0.6947,0.909,0.021,-0.021,0.042,-0.042
0.8938,0.975,0.022,-0.022,0.037,-0.037
1.0934,1.112,0.027,-0.027,0.047,-0.047
1.2931,1.164,0.034,-0.034,0.039,-0.039
1.493,1.239,0.045,-0.045,0.05,-0.05
1.6929,1.485,0.073,-0.073,0.058,-0.058
1.8928,1.424,0.093,-0.093,0.058,-0.058
2.1337,1.89,0.16,-0.16,0.06,-0.06
2.5055,2.52,0.4,-0.4,0.08,-0.08
3.0651,2.5,1.2,-1.2,0.1,-0.1

