#: table_doi: 10.17182/hepdata.94313.v1/t23
#: name: K0S pT spectrum, Au+Au 27 GeV, 40-60%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau27_cent1.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,40-60%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.2999,0.2,0.4,2.1055,0.0354,-0.0354,0.0971,-0.0971
0.4959,0.4,0.6,1.1631,0.0118,-0.0118,0.0296,-0.0296
0.6944,0.6,0.8,0.5906,0.0049,-0.0049,0.0146,-0.0146
0.8937,0.8,1.0,0.26418,0.00208,-0.00208,0.00589,-0.00589
1.0935,1.0,1.2,0.12017,0.00099,-0.00099,0.00367,-0.00367
1.2934,1.2,1.4,0.05538,0.00051,-0.00051,0.00171,-0.00171
1.4934,1.4,1.6,0.025042,0.000256,-0.000256,0.000714,-0.000714
1.6935,1.6,1.8,0.01175,0.000136,-0.000136,0.000296,-0.000296
1.8936,1.8,2.0,0.005574,7.2e-05,-7.2e-05,0.000193,-0.000193
2.1361,2.0,2.3,0.0022718,2.71e-05,-2.71e-05,7.64e-05,-7.64e-05
2.4365,2.3,2.6,0.0007717,1.16e-05,-1.16e-05,3.32e-05,-3.32e-05
2.7771,2.6,3.0,0.00023939,4.12e-06,-4.12e-06,8.92e-06,-8.92e-06
3.178,3.0,3.4,6.215e-05,1.64e-06,-1.64e-06,2.57e-06,-2.57e-06
3.6175,3.4,3.9,1.5223e-05,6.41e-07,-6.41e-07,6.43e-07,-6.43e-07
4.1191,3.9,4.4,3.513e-06,2.75e-07,-2.75e-07,1.79e-07,-1.79e-07
4.6581,4.4,5.0,5.576e-07,9.39e-08,-9.39e-08,3.48e-08,-3.48e-08

