#: table_doi: 10.17182/hepdata.94313.v1/t5
#: name: K0S pT spectrum, Au+Au 7.7 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau7_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 7.7
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.3002,0.2,0.4,4.915,0.118,-0.118,0.136,-0.136
0.4963,0.4,0.6,3.02,0.044,-0.044,0.105,-0.105
0.6946,0.6,0.8,1.5349,0.0182,-0.0182,0.047,-0.047
0.8938,0.8,1.0,0.7167,0.0083,-0.0083,0.0235,-0.0235
1.0933,1.0,1.2,0.3019,0.0037,-0.0037,0.0111,-0.0111
1.293,1.2,1.4,0.13145,0.00189,-0.00189,0.00356,-0.00356
1.4928,1.4,1.6,0.05405,0.00096,-0.00096,0.00197,-0.00197
1.6927,1.6,1.8,0.023353,0.000537,-0.000537,0.000892,-0.000892
1.8926,1.8,2.0,0.008755,0.000284,-0.000284,0.000468,-0.000468
2.1334,2.0,2.3,0.002963,0.000125,-0.000125,0.000132,-0.000132
2.5048,2.3,2.8,0.0005567,3.83e-05,-3.83e-05,2.64e-05,-2.64e-05
3.0638,2.8,3.5,4.468e-05,8.44e-06,-8.44e-06,3.21e-06,-3.21e-06

