#: table_doi: 10.17182/hepdata.94313.v1/t301
#: name: Lambda+AntiLambda Rcp(0-5%/40-60%), Au+Au 39 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_lambda_auau39.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 39
#: particles,Lambda+AntiLambda
pT [GeV/c],Rcp,stat +,stat -,sys +,sys -
0.5018,0.523,0.008,-0.008,0.039,-0.039
0.7001,0.601,0.006,-0.006,0.036,-0.036
0.8988,0.702,0.006,-0.006,0.049,-0.049
1.0978,0.791,0.007,-0.007,0.051,-0.051
1.2971,0.91,0.008,-0.008,0.051,-0.051
1.4964,0.993,0.009,-0.009,0.066,-0.066
1.6959,1.075,0.01,-0.01,0.064,-0.064
1.8955,1.125,0.011,-0.011,0.062,-0.062
2.1381,1.192,0.01,-0.01,0.074,-0.074
2.4379,1.202,0.012,-0.012,0.075,-0.075
2.7786,1.196,0.013,-0.013,0.068,-0.068
3.1788,1.166,0.018,-0.018,0.069,-0.069
3.6176,1.076,0.026,-0.026,0.064,-0.064
4.1183,0.998,0.046,-0.046,0.059,-0.059
4.6558,0.8,0.073,-0.073,0.047,-0.047
5.3864,1.2,0.21,-0.21,0.07,-0.07

