#: table_doi: 10.17182/hepdata.94313.v1/t44
#: name: Lambda pT spectrum, Au+Au 11.5 GeV, 40-60%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau11_cent1.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,40-60%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.4997,0.4,0.6,0.53,0.0155,-0.0155,0.043,-0.043
0.6978,0.6,0.8,0.3264,0.0064,-0.0064,0.0165,-0.0165
0.8965,0.8,1.0,0.20484,0.00354,-0.00354,0.00846,-0.00846
1.0956,1.0,1.2,0.11288,0.0019,-0.0019,0.00617,-0.00617
1.295,1.2,1.4,0.06049,0.00106,-0.00106,0.00186,-0.00186
1.4945,1.4,1.6,0.02936,0.000528,-0.000528,0.00083,-0.00083
1.6941,1.6,1.8,0.014641,0.000283,-0.000283,0.000488,-0.000488
1.8939,1.8,2.0,0.006518,0.000139,-0.000139,0.000269,-0.000269
2.1359,2.0,2.3,0.0026277,5.18e-05,-5.18e-05,9.76e-05,-9.76e-05
2.4354,2.3,2.6,0.0008327,2.13e-05,-2.13e-05,3.54e-05,-3.54e-05
2.7737,2.6,3.0,0.00021158,7.19e-06,-7.19e-06,9.16e-06,-9.16e-06
3.1732,3.0,3.4,4.327e-05,2.86e-06,-2.86e-06,1.93e-06,-1.93e-06
3.608,3.4,3.9,4.859e-06,8.15e-07,-8.15e-07,2.25e-07,-2.25e-07
4.1075,3.9,4.4,1.08e-06,3.35e-07,-3.35e-07,6.6e-08,-6.6e-08

