#: table_doi: 10.17182/hepdata.94313.v1/t64
#: name: Lambda pT spectrum, Au+Au 39 GeV, 60-80%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau39_cent0.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,60-80%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.4998,0.4,0.6,0.11794,0.00227,-0.00227,0.00882,-0.00882
0.6979,0.6,0.8,0.07528,0.001,-0.001,0.00312,-0.00312
0.8966,0.8,1.0,0.04315,0.00052,-0.00052,0.0034,-0.0034
1.0957,1.0,1.2,0.02434,0.00029,-0.00029,0.00175,-0.00175
1.2951,1.2,1.4,0.012549,0.000152,-0.000152,0.00092,-0.00092
1.4947,1.4,1.6,0.006577,8.6e-05,-8.6e-05,0.000444,-0.000444
1.6943,1.6,1.8,0.003366,4.7e-05,-4.7e-05,0.000262,-0.000262
1.8941,1.8,2.0,0.00176,2.7e-05,-2.7e-05,0.000135,-0.000135
2.1376,2.0,2.3,0.0007605,1.05e-05,-1.05e-05,6.25e-05,-6.25e-05
2.4376,2.3,2.6,0.0002756,4.4e-06,-4.4e-06,2.82e-05,-2.82e-05
2.7783,2.6,3.0,9.27e-05,1.7e-06,-1.7e-06,1.13e-05,-1.13e-05
3.1788,3.0,3.4,2.641e-05,7.3e-07,-7.3e-07,2.26e-06,-2.26e-06
3.618,3.4,3.9,5.933e-06,2.86e-07,-2.86e-07,5.13e-07,-5.13e-07
4.1191,3.9,4.4,1.76e-06,1.37e-07,-1.37e-07,1.55e-07,-1.55e-07
4.6576,4.4,5.0,2.406e-07,5e-08,-5e-08,2.33e-08,-2.33e-08
5.3925,5.0,6.0,4.49e-08,1.41e-08,-1.41e-08,4.6e-09,-4.6e-09

