#: table_doi: 10.17182/hepdata.94313.v1/t289
#: name: Phi Rcp(0-10%/40-60%), Au+Au 11.5 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_phi_auau11.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 11.5
#: particles,Phi
pT [GeV/c],Rcp,stat +,stat -
0.4457,0.62,0.12,-0.12
0.5494,0.656,0.073,-0.073
0.6535,0.654,0.056,-0.056
0.8033,0.921,0.054,-0.054
0.9501,0.998,0.099,-0.099
1.1463,1.136,0.098,-0.098
1.4868,1.24,0.14,-0.14
1.8406,0.97,0.39,-0.39
2.221,2.6,1.3,-1.3
2.8785,4.0,2.8,-2.8

