#: table_doi: 10.17182/hepdata.94313.v1/t134
#: name: Xi- pT spectrum, Au+Au 39 GeV, 60-80%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau39_cent0.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,60-80%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7927,0.6,1.0,0.005223,0.000132,-0.000132,0.000395,-0.000395
1.1422,1.0,1.3,0.00228,5.1e-05,-5.1e-05,0.000188,-0.000188
1.4404,1.3,1.6,0.0009436,2.05e-05,-2.05e-05,6.92e-05,-6.92e-05
1.7392,1.6,1.9,0.0003854,8.9e-06,-8.9e-06,2.55e-05,-2.55e-05
2.0384,1.9,2.2,0.000149,4e-06,-4e-06,1.03e-05,-1.03e-05
2.3792,2.2,2.6,5.088e-05,1.51e-06,-1.51e-06,4.78e-06,-4.78e-06
2.8536,2.6,3.2,1.1723e-05,4.7e-07,-4.7e-07,9.09e-07,-9.09e-07
3.5207,3.2,4.0,1.197e-06,1.08e-07,-1.08e-07,9.7e-08,-9.7e-08
4.3839,4.0,5.0,1.327e-07,2.95e-08,-2.95e-08,1.05e-08,-1.05e-08

