#: table_doi: 10.17182/hepdata.94313.v1/t51
#: name: Lambda pT spectrum, Au+Au 19.6 GeV, 40-60%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau19_cent1.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 19.6
#: Centrality,,,40-60%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5,0.4,0.6,0.4597,0.0076,-0.0076,0.0328,-0.0328
0.6981,0.6,0.8,0.2975,0.0033,-0.0033,0.012,-0.012
0.8969,0.8,1.0,0.18793,0.00185,-0.00185,0.00787,-0.00787
1.096,1.0,1.2,0.10913,0.00105,-0.00105,0.00292,-0.00292
1.2954,1.2,1.4,0.06042,0.0006,-0.0006,0.0023,-0.0023
1.495,1.4,1.6,0.03196,0.00034,-0.00034,0.00109,-0.00109
1.6947,1.6,1.8,0.016288,0.000184,-0.000184,0.000501,-0.000501
1.8944,1.8,2.0,0.008207,0.000101,-0.000101,0.000237,-0.000237
2.1364,2.0,2.3,0.003486,3.9e-05,-3.9e-05,0.000125,-0.000125
2.4364,2.3,2.6,0.0012424,1.72e-05,-1.72e-05,7.23e-05,-7.23e-05
2.7763,2.6,3.0,0.0003532,6e-06,-6e-06,1.34e-05,-1.34e-05
3.1767,3.0,3.4,8.444e-05,2.39e-06,-2.39e-06,3.6e-06,-3.6e-06
3.6148,3.4,3.9,1.7895e-05,8.89e-07,-8.89e-07,8.07e-07,-8.07e-07
4.116,3.9,4.4,2.95e-06,3.82e-07,-3.82e-07,1.62e-07,-1.62e-07
4.6533,4.4,5.0,6.81e-07,1.29e-07,-1.29e-07,4.5e-08,-4.5e-08

