#: table_doi: 10.17182/hepdata.94313.v1/t59
#: name: Lambda pT spectrum, Au+Au 27 GeV, 30-40%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau27_cent2.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,30-40%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5006,0.4,0.6,0.864,0.0131,-0.0131,0.05,-0.05
0.6988,0.6,0.8,0.6204,0.0062,-0.0062,0.0269,-0.0269
0.8976,0.8,1.0,0.4177,0.0037,-0.0037,0.0125,-0.0125
1.0967,1.0,1.2,0.25986,0.00221,-0.00221,0.00929,-0.00929
1.296,1.2,1.4,0.15497,0.00136,-0.00136,0.00439,-0.00439
1.4956,1.4,1.6,0.08708,0.00081,-0.00081,0.00369,-0.00369
1.6952,1.6,1.8,0.0471,0.00046,-0.00046,0.0013,-0.0013
1.8949,1.8,2.0,0.024837,0.00026,-0.00026,0.000698,-0.000698
2.1373,2.0,2.3,0.011125,0.000103,-0.000103,0.00025,-0.00025
2.4372,2.3,2.6,0.004093,4.3e-05,-4.3e-05,0.00015,-0.00015
2.7775,2.6,3.0,0.001291,1.48e-05,-1.48e-05,4.36e-05,-4.36e-05
3.1779,3.0,3.4,0.0003438,5.7e-06,-5.7e-06,1.25e-05,-1.25e-05
3.6166,3.4,3.9,7.701e-05,2.01e-06,-2.01e-06,3e-06,-3e-06
4.1177,3.9,4.4,1.4939e-05,7.93e-07,-7.93e-07,6.9e-07,-6.9e-07
4.6554,4.4,5.0,2.803e-06,3e-07,-3e-07,1.71e-07,-1.71e-07
5.3868,5.0,6.0,2.685e-07,7.41e-08,-7.41e-08,1.86e-08,-1.86e-08

