#: table_doi: 10.17182/hepdata.94313.v1/t312
#: name: AntiLambda/K0S, Au+Au 11.5 GeV, 60-80%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig29_auau11_cent0.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda/K0S
#: keyword cmenergies: 11.5
#: Centrality,60-80%
pT [GeV/c],AntiLambda/K0S,stat +,stat -
0.4993,0.0708,0.0043,-0.0043
0.6971,0.0922,0.0042,-0.0042
0.8956,0.1222,0.0053,-0.0053
1.0945,0.1458,0.0069,-0.0069
1.2937,0.167,0.0095,-0.0095
1.4931,0.195,0.014,-0.014
1.6927,0.198,0.018,-0.018
1.8924,0.148,0.022,-0.022
2.1324,0.161,0.031,-0.031
2.4319,0.218,0.061,-0.061
2.7674,0.108,0.089,-0.089

