#: table_doi: 10.17182/hepdata.94313.v1/t82
#: name: AntiLambda pT spectrum, Au+Au 11.5 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig7_lambdabar_auau11_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda pT spectrum
#: keyword cmenergies: 11.5
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.502,0.4,0.6,0.11759,0.00456,-0.00456,0.0092,-0.0092
0.7002,0.6,0.8,0.08319,0.00221,-0.00221,0.00552,-0.00552
0.8988,0.8,1.0,0.06101,0.00148,-0.00148,0.0034,-0.0034
1.0977,1.0,1.2,0.04093,0.00095,-0.00095,0.00254,-0.00254
1.2966,1.2,1.4,0.02564,0.00063,-0.00063,0.00153,-0.00153
1.4958,1.4,1.6,0.014443,0.000386,-0.000386,0.000687,-0.000687
1.6946,1.6,1.8,0.007222,0.000224,-0.000224,0.000329,-0.000329
1.8943,1.8,2.0,0.003732,0.000143,-0.000143,0.000156,-0.000156
2.1368,2.0,2.3,0.0015717,5.87e-05,-5.87e-05,8.59e-05,-8.59e-05
2.4364,2.3,2.6,0.0005194,2.85e-05,-2.85e-05,2.55e-05,-2.55e-05
2.7753,2.6,3.0,0.000128,1.13e-05,-1.13e-05,6.5e-06,-6.5e-06
3.1748,3.0,3.4,2.902e-05,4.49e-06,-4.49e-06,1.48e-06,-1.48e-06
3.6105,3.4,3.9,5.6e-06,1.44e-06,-1.44e-06,3.1e-07,-3.1e-07

