#: table_doi: 10.17182/hepdata.94313.v1/t99
#: name: AntiLambda pT spectrum, Au+Au 39 GeV, 60-80%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig7_lambdabar_auau39_cent0.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,60-80%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.4996,0.4,0.6,0.06313,0.0013,-0.0013,0.00276,-0.00276
0.6977,0.6,0.8,0.03966,0.00058,-0.00058,0.00207,-0.00207
0.8963,0.8,1.0,0.02205,0.00028,-0.00028,0.00151,-0.00151
1.0954,1.0,1.2,0.012266,0.000158,-0.000158,0.000976,-0.000976
1.2948,1.2,1.4,0.006218,8.4e-05,-8.4e-05,0.000565,-0.000565
1.4943,1.4,1.6,0.003068,4.4e-05,-4.4e-05,0.000253,-0.000253
1.694,1.6,1.8,0.001538,2.4e-05,-2.4e-05,0.000132,-0.000132
1.8938,1.8,2.0,0.0007407,1.3e-05,-1.3e-05,6.98e-05,-6.98e-05
2.1363,2.0,2.3,0.0003179,5.2e-06,-5.2e-06,3.08e-05,-3.08e-05
2.4363,2.3,2.6,0.0001074,2.4e-06,-2.4e-06,1.29e-05,-1.29e-05
2.776,2.6,3.0,3.241e-05,9.1e-07,-9.1e-07,3.02e-06,-3.02e-06
3.1765,3.0,3.4,7.959e-06,3.98e-07,-3.98e-07,7.56e-07,-7.56e-07
3.6145,3.4,3.9,1.285e-06,1.6e-07,-1.6e-07,1.24e-07,-1.24e-07
4.1158,3.9,4.4,1.407e-07,5.86e-08,-5.86e-08,1.57e-08,-1.57e-08
4.653,4.4,5.0,3.66e-08,2.61e-08,-2.61e-08,4e-09,-4e-09

