% table_doi: 10.17182/hepdata.94313.v1/t175
% name: AntiXi+ pT spectrum     Au+Au 39 GeV     0-5%
% description: Data from STAR beam energy scan (Phase I) at RHIC     for mid-rapidity (|y|<0.5)
% data_file: fig9_xibar_auau39_cent6.yaml
% keyword reactions: Au+Au
% keyword observables: AntiXi+ pT spectrum
% keyword cmenergies: 39
% Centrality            0-5%
%pT [GeV/c]    pT [GeV/c] LOW    pT [GeV/c] HIGH    d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2]    stat +    stat -    sys +    sys -
0.8016    0.6    1.0    0.1095    0.0025    -0.0025    0.0191    -0.0191
1.147    1.0    1.3    0.06786    0.00112    -0.00112    0.00833    -0.00833
1.4443    1.3    1.6    0.04014    0.00061    -0.00061    0.00454    -0.00454
1.7422    1.6    1.9    0.01902    0.00029    -0.00029    0.00199    -0.00199
2.0406    1.9    2.2    0.008445    0.000141    -0.000141    0.000849    -0.000849
2.3801    2.2    2.6    0.003001    5.4e-05    -5.4e-05    0.000379    -0.000379
2.8544    2.6    3.2    0.0006862    1.79e-05    -1.79e-05    7.75e-05    -7.75e-05
3.5191    3.2    4.0    7.83e-05    4.43e-06    -4.43e-06    8.88e-06    -8.88e-06
4.3767    4.0    5.0    3.887e-06    9.35e-07    -9.35e-07    4.48e-07    -4.48e-07

