#: table_doi: 10.17182/hepdata.94313.v1/t172
#: name: AntiXi+ pT spectrum, Au+Au 39 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig9_xibar_auau39_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiXi+ pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7987,0.6,1.0,0.04781,0.00074,-0.00074,0.00301,-0.00301
1.1453,1.0,1.3,0.02773,0.00035,-0.00035,0.00151,-0.00151
1.443,1.3,1.6,0.014357,0.000169,-0.000169,0.000703,-0.000703
1.7413,1.6,1.9,0.006835,8.1e-05,-8.1e-05,0.000366,-0.000366
2.0401,1.9,2.2,0.003013,3.8e-05,-3.8e-05,0.000191,-0.000191
2.3799,2.2,2.6,0.0010607,1.41e-05,-1.41e-05,6.87e-05,-6.87e-05
2.8544,2.6,3.2,0.0002329,4.1e-06,-4.1e-06,1.33e-05,-1.33e-05
3.5207,3.2,4.0,2.972e-05,1.03e-06,-1.03e-06,1.72e-06,-1.72e-06
4.3816,4.0,5.0,2.299e-06,2.09e-07,-2.09e-07,1.39e-07,-1.39e-07

