#: table_doi: 10.17182/hepdata.94313.v1/t300
#: name: K0S Rcp(0-5%/40-60%), Au+Au 39 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_k0s_auau39.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 39
#: particles,K0S
pT [GeV/c],Rcp,stat +,stat -,sys +,sys -
0.3006,0.566,0.008,-0.008,0.043,-0.043
0.4968,0.675,0.006,-0.006,0.036,-0.036
0.6953,0.763,0.005,-0.005,0.035,-0.035
0.8945,0.821,0.005,-0.005,0.031,-0.031
1.0942,0.873,0.006,-0.006,0.037,-0.037
1.294,0.884,0.007,-0.007,0.03,-0.03
1.4939,0.888,0.008,-0.008,0.036,-0.036
1.6939,0.883,0.009,-0.009,0.034,-0.034
1.894,0.876,0.01,-0.01,0.036,-0.036
2.1364,0.848,0.009,-0.009,0.027,-0.027
2.4364,0.79,0.011,-0.011,0.026,-0.026
2.7771,0.763,0.013,-0.013,0.032,-0.032
3.1783,0.718,0.018,-0.018,0.027,-0.027
3.6181,0.699,0.026,-0.026,0.027,-0.027
4.12,0.627,0.043,-0.043,0.024,-0.024
4.6597,0.642,0.086,-0.086,0.024,-0.024
5.3998,0.69,0.18,-0.18,0.03,-0.03

