#: table_doi: 10.17182/hepdata.94313.v1/t21
#: name: K0S pT spectrum, Au+Au 19.6 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau19_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 19.6
#: Centrality,,,0-5%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.3002,0.2,0.4,12.347,0.17,-0.17,0.426,-0.426
0.4963,0.4,0.6,8.036,0.067,-0.067,0.196,-0.196
0.6947,0.6,0.8,4.355,0.029,-0.029,0.103,-0.103
0.894,0.8,1.0,2.1579,0.0137,-0.0137,0.0419,-0.0419
1.0937,1.0,1.2,1.0189,0.0068,-0.0068,0.0219,-0.0219
1.2935,1.2,1.4,0.461,0.0035,-0.0035,0.0126,-0.0126
1.4935,1.4,1.6,0.21335,0.00186,-0.00186,0.00581,-0.00581
1.6936,1.6,1.8,0.09413,0.00096,-0.00096,0.00343,-0.00343
1.8936,1.8,2.0,0.04363,0.00055,-0.00055,0.00183,-0.00183
2.1359,2.0,2.3,0.017329,0.000234,-0.000234,0.000753,-0.000753
2.4356,2.3,2.6,0.005541,0.000104,-0.000104,0.000219,-0.000219
2.7752,2.6,3.0,0.0014804,4.06e-05,-4.06e-05,6.27e-05,-6.27e-05
3.1757,3.0,3.4,0.0003298,1.78e-05,-1.78e-05,1.59e-05,-1.59e-05
3.6132,3.4,3.9,6.893e-05,6.85e-06,-6.85e-06,3.45e-06,-3.45e-06
4.1142,3.9,4.4,1.14e-05,2.76e-06,-2.76e-06,7.6e-07,-7.6e-07

