#: table_doi: 10.17182/hepdata.94313.v1/t30
#: name: K0S pT spectrum, Au+Au 39 GeV, 40-60%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig5_k0s_auau39_cent1.yaml
#: keyword reactions: Au+Au
#: keyword observables: K0S pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,40-60%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.2999,0.2,0.4,2.2617,0.0243,-0.0243,0.0681,-0.0681
0.496,0.4,0.6,1.2701,0.0083,-0.0083,0.0348,-0.0348
0.6944,0.6,0.8,0.6321,0.0034,-0.0034,0.014,-0.014
0.8938,0.8,1.0,0.3004,0.00154,-0.00154,0.00843,-0.00843
1.0936,1.0,1.2,0.13894,0.00075,-0.00075,0.00323,-0.00323
1.2936,1.2,1.4,0.06455,0.00038,-0.00038,0.00186,-0.00186
1.4936,1.4,1.6,0.030669,0.000206,-0.000206,0.000798,-0.000798
1.6938,1.6,1.8,0.01484,0.000111,-0.000111,0.000399,-0.000399
1.8939,1.8,2.0,0.00715,5.9e-05,-5.9e-05,0.000215,-0.000215
2.1367,2.0,2.3,0.003094,2.4e-05,-2.4e-05,0.000104,-0.000104
2.4373,2.3,2.6,0.0011239,1.05e-05,-1.05e-05,3.46e-05,-3.46e-05
2.7783,2.6,3.0,0.0003667,3.8e-06,-3.8e-06,1.33e-05,-1.33e-05
3.1792,3.0,3.4,0.00010738,1.6e-06,-1.6e-06,4.16e-06,-4.16e-06
3.6192,3.4,3.9,2.98e-05,6.6e-07,-6.6e-07,1.21e-06,-1.21e-06
4.1207,3.9,4.4,7.528e-06,2.99e-07,-2.99e-07,3.44e-07,-3.44e-07
4.6602,4.4,5.0,1.569e-06,1.16e-07,-1.16e-07,8.2e-08,-8.2e-08
5.3997,5.0,6.0,2.424e-07,3.52e-08,-3.52e-08,1.58e-08,-1.58e-08

