#: table_doi: 10.17182/hepdata.94313.v1/t291
#: name: Lambda Rcp(0-5%/40-60%), Au+Au 19.6 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_lambda_auau19.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 19.6
#: particles,Lambda
pT [GeV/c],Rcp,stat +,stat -,sys +,sys -
0.5018,0.62,0.014,-0.014,0.036,-0.036
0.7,0.741,0.011,-0.011,0.038,-0.038
0.8986,0.858,0.011,-0.011,0.034,-0.034
1.0976,1.002,0.012,-0.012,0.037,-0.037
1.2967,1.109,0.014,-0.014,0.042,-0.042
1.496,1.222,0.016,-0.016,0.039,-0.039
1.6955,1.301,0.018,-0.018,0.043,-0.043
1.895,1.359,0.021,-0.021,0.038,-0.038
2.1367,1.425,0.02,-0.02,0.042,-0.042
2.4366,1.401,0.024,-0.024,0.045,-0.045
2.7765,1.478,0.031,-0.031,0.047,-0.047
3.1767,1.478,0.052,-0.052,0.052,-0.052
3.6145,1.354,0.087,-0.087,0.048,-0.048
4.1154,1.41,0.22,-0.22,0.05,-0.05
4.652,1.06,0.28,-0.28,0.04,-0.04

