#: table_doi: 10.17182/hepdata.94313.v1/t70
#: name: Lambda pT spectrum, Au+Au 39 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau39_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,0-5%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5018,0.4,0.6,2.53,0.035,-0.035,0.182,-0.182
0.7001,0.6,0.8,1.967,0.017,-0.017,0.152,-0.152
0.8988,0.8,1.0,1.476,0.011,-0.011,0.131,-0.131
1.0978,1.0,1.2,1.0184,0.0074,-0.0074,0.0837,-0.0837
1.2971,1.2,1.4,0.6693,0.0049,-0.0049,0.0493,-0.0493
1.4964,1.4,1.6,0.403,0.003,-0.003,0.0317,-0.0317
1.6959,1.6,1.8,0.2304,0.0018,-0.0018,0.0177,-0.0177
1.8955,1.8,2.0,0.13008,0.00109,-0.00109,0.00903,-0.00903
2.1381,2.0,2.3,0.06169,0.00044,-0.00044,0.00438,-0.00438
2.4379,2.3,2.6,0.02362,0.00019,-0.00019,0.00165,-0.00165
2.7786,2.6,3.0,0.007775,6.6e-05,-6.6e-05,0.000557,-0.000557
3.1788,3.0,3.4,0.002195,2.6e-05,-2.6e-05,0.000163,-0.000163
3.6176,3.4,3.9,0.0005282,1.06e-05,-1.06e-05,3.98e-05,-3.98e-05
4.1183,3.9,4.4,0.00010865,4.14e-06,-4.14e-06,8.8e-06,-8.8e-06
4.6558,4.4,5.0,2.103e-05,1.66e-06,-1.66e-06,1.81e-06,-1.81e-06
5.3864,5.0,6.0,3.892e-06,4.16e-07,-4.16e-07,3.87e-07,-3.87e-07

