#: table_doi: 10.17182/hepdata.94313.v1/t37
#: name: Lambda pT spectrum, Au+Au 7.7 GeV, 40-60%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau7_cent1.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 7.7
#: Centrality,,,40-60%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.4999,0.4,0.6,0.5539,0.0199,-0.0199,0.0448,-0.0448
0.6979,0.6,0.8,0.3418,0.0081,-0.0081,0.0176,-0.0176
0.8964,0.8,1.0,0.21523,0.0046,-0.0046,0.00894,-0.00894
1.0954,1.0,1.2,0.1146,0.00244,-0.00244,0.00623,-0.00623
1.2946,1.2,1.4,0.05658,0.00122,-0.00122,0.00166,-0.00166
1.4941,1.4,1.6,0.02612,0.000593,-0.000593,0.000695,-0.000695
1.6937,1.6,1.8,0.01262,0.000325,-0.000325,0.000413,-0.000413
1.8934,1.8,2.0,0.005517,0.000159,-0.000159,0.000234,-0.000234
2.1344,2.0,2.3,0.0019466,5.79e-05,-5.79e-05,7.41e-05,-7.41e-05
2.4339,2.3,2.6,0.0005286,2.41e-05,-2.41e-05,2.43e-05,-2.43e-05
2.771,2.6,3.0,0.00012327,8.47e-06,-8.47e-06,5.31e-06,-5.31e-06
3.1704,3.0,3.4,1.806e-05,2.95e-06,-2.95e-06,8.5e-07,-8.5e-07
3.6038,3.4,3.9,2.607e-06,9.22e-07,-9.22e-07,1.47e-07,-1.47e-07

