#: table_doi: 10.17182/hepdata.94313.v1/t133
#: name: Xi- pT spectrum, Au+Au 27 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau27_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,0-5%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7996,0.6,1.0,0.2394,0.0054,-0.0054,0.0161,-0.0161
1.1456,1.0,1.3,0.13445,0.00208,-0.00208,0.00692,-0.00692
1.443,1.3,1.6,0.07043,0.00099,-0.00099,0.00375,-0.00375
1.7411,1.6,1.9,0.03286,0.00048,-0.00048,0.0017,-0.0017
2.0398,1.9,2.2,0.013921,0.000229,-0.000229,0.000764,-0.000764
2.3793,2.2,2.6,0.004768,8.7e-05,-8.7e-05,0.000255,-0.000255
2.8525,2.6,3.2,0.0010085,2.98e-05,-2.98e-05,5.26e-05,-5.26e-05
3.5161,3.2,4.0,9.707e-05,7.39e-06,-7.39e-06,5.2e-06,-5.2e-06
4.3724,4.0,5.0,7.04e-06,1.44e-06,-1.44e-06,4.1e-07,-4.1e-07

