          %pt            TT            TS            SS            SS2j            Tot
        0.200    4.07424E-01    5.96555E-06    6.81798E-05    1.09232E-08    4.07498E-01
        0.527    3.24093E-01    1.95717E-04    6.39062E-04    5.30147E-07    3.24928E-01
        0.853    2.13655E-01    9.84404E-04    2.50074E-03    3.02505E-06    2.17144E-01
        1.180    1.19741E-01    2.58964E-03    6.04470E-03    7.94447E-06    1.28383E-01
        1.507    5.86712E-02    5.20168E-03    9.60641E-03    1.48152E-05    7.34941E-02
        1.833    2.58114E-02    8.67171E-03    9.68272E-03    2.32220E-05    4.41890E-02
        2.160    1.04303E-02    1.18843E-02    6.60277E-03    3.21235E-05    2.89496E-02
        2.487    3.94318E-03    1.29916E-02    4.29928E-03    3.94575E-05    2.12735E-02
        2.813    1.41463E-03    1.09204E-02    2.83212E-03    4.28387E-05    1.52100E-02
        3.140    4.86880E-04    7.24602E-03    1.89353E-03    3.25949E-05    9.65902E-03
        3.467    1.62107E-04    4.34702E-03    1.28494E-03    1.79021E-05    5.81197E-03
        3.793    5.25478E-05    2.57051E-03    8.84266E-04    1.00217E-05    3.51735E-03
        4.120    1.66655E-05    1.53852E-03    6.16514E-04    5.71579E-06    2.17742E-03
        4.447    5.19107E-06    9.37335E-04    4.35070E-04    3.31906E-06    1.38092E-03
        4.773    1.59289E-06    5.81388E-04    3.10495E-04    1.96067E-06    8.95437E-04
        5.100    4.82664E-07    3.66745E-04    2.23919E-04    1.17726E-06    5.92324E-04
        5.427    1.44701E-07    2.34998E-04    1.63063E-04    7.17865E-07    3.98924E-04
        5.753    4.29879E-08    1.52782E-04    1.19831E-04    4.44169E-07    2.73100E-04
        6.080    1.26713E-08    1.00679E-04    8.88125E-05    2.78636E-07    1.89783E-04
        6.407    3.70982E-09    6.71831E-05    6.63496E-05    1.77082E-07    1.33714E-04
        6.733    1.07975E-09    4.53604E-05    4.99402E-05    1.13934E-07    9.54156E-05
        7.060    3.12644E-10    3.09643E-05    3.78544E-05    7.41605E-08    6.88932E-05
        7.387    9.01158E-11    2.13558E-05    2.88842E-05    4.88050E-08    5.02889E-05
        7.713    2.58705E-11    1.48721E-05    2.21778E-05    3.24543E-08    3.70825E-05
        8.040    7.40039E-12    1.04517E-05    1.71295E-05    2.17951E-08    2.76030E-05
        8.367    2.11017E-12    7.40857E-06    1.33045E-05    1.47741E-08    2.07278E-05
        8.693    5.99984E-13    5.29429E-06    1.03885E-05    1.01040E-08    1.56929E-05
        9.020    1.70154E-13    3.81258E-06    8.15258E-06    6.96861E-09    1.19721E-05
        9.347    4.81434E-14    2.76563E-06    6.42853E-06    4.84478E-09    9.19900E-06
        9.673    1.35931E-14    2.02009E-06    5.09217E-06    3.39399E-09    7.11565E-06
