          %pt            TT            TS            SS            SS2j            Tot
        0.200    6.52464E-03    5.72782E-07    9.83796E-08    1.51739E-10    6.52531E-03
        0.543    5.76907E-03    3.38631E-05    2.78560E-06    4.82195E-08    5.80577E-03
        0.887    4.49598E-03    2.22928E-04    1.18391E-05    6.64307E-07    4.73141E-03
        1.230    3.05756E-03    6.33217E-04    2.63043E-05    2.80376E-06    3.71988E-03
        1.573    1.81605E-03    1.15221E-03    4.18894E-05    6.46700E-06    3.01662E-03
        1.917    9.52097E-04    1.58453E-03    4.60435E-05    1.08383E-05    2.59351E-03
        2.260    4.47489E-04    1.77162E-03    3.47169E-05    1.54270E-05    2.26925E-03
        2.603    1.91684E-04    1.65929E-03    2.56757E-05    2.01479E-05    1.89680E-03
        2.947    7.59831E-05    1.31169E-03    1.90836E-05    2.49111E-05    1.43167E-03
        3.290    2.82419E-05    8.70397E-04    1.42760E-05    2.94499E-05    9.42365E-04
        3.633    9.95155E-06    4.79212E-04    1.07489E-05    3.33557E-05    5.33269E-04
        3.977    3.35440E-06    2.21472E-04    8.14402E-06    3.61672E-05    2.69138E-04
        4.320    1.08954E-06    9.56197E-05    6.20821E-06    3.74586E-05    1.40376E-04
        4.663    3.43050E-07    4.10617E-05    4.76088E-06    3.69260E-05    8.30917E-05
        5.007    1.05209E-07    1.75694E-05    3.67235E-06    3.44722E-05    5.58192E-05
        5.350    3.15530E-08    7.49919E-06    2.84885E-06    3.02837E-05    4.06633E-05
        5.693    9.28382E-09    3.19599E-06    2.22227E-06    2.48732E-05    3.03007E-05
        6.037    2.68700E-09    1.36096E-06    1.74281E-06    1.89428E-05    2.20492E-05
        6.380    7.66697E-10    5.79413E-07    1.37387E-06    1.34977E-05    1.54517E-05
        6.723    2.16072E-10    2.46733E-07    1.08845E-06    9.71376E-06    1.10492E-05
        7.067    6.02373E-11    1.05128E-07    8.66478E-07    7.05641E-06    8.02808E-06
        7.410    1.66339E-11    4.48312E-08    6.92960E-07    5.17153E-06    5.90934E-06
        7.753    4.55477E-12    1.91386E-08    5.56651E-07    3.82191E-06    4.39770E-06
        8.097    1.23793E-12    8.18046E-09    4.49061E-07    2.84686E-06    3.30411E-06
        8.440    3.34223E-13    3.50137E-09    3.63746E-07    2.13646E-06    2.50371E-06
        8.783    8.97003E-14    1.50083E-09    2.95796E-07    1.61470E-06    1.91200E-06
        9.127    2.39460E-14    6.44298E-10    2.41443E-07    1.22856E-06    1.47065E-06
        9.470    6.36185E-15    2.77028E-10    1.97788E-07    9.40727E-07    1.13879E-06
        9.813    1.68286E-15    1.19304E-10    1.62587E-07    7.24686E-07    8.87393E-07
       10.157    4.43405E-16    5.14623E-11    1.34094E-07    5.61471E-07    6.95617E-07
