          %pt            TT            TS            SS            SS2j            Tot
        0.200    5.57761E-01    2.95589E-04    1.47344E-04    1.16915E-08    5.58204E-01
        0.616    5.52782E-01    2.21823E-02    5.48586E-03    2.33956E-06    5.80452E-01
        1.032    4.37840E-01    1.34127E-01    2.80051E-02    1.81883E-05    5.99991E-01
        1.448    2.67128E-01    3.41635E-01    6.01049E-02    5.35057E-05    6.68922E-01
        1.864    1.33422E-01    3.79304E-01    5.83555E-02    1.07335E-04    5.71188E-01
        2.280    5.78945E-02    1.98715E-01    3.38463E-02    1.70397E-04    2.90627E-01
        2.696    2.27604E-02    9.85223E-02    1.93939E-02    2.17176E-04    1.40894E-01
        3.112    8.33780E-03    5.10974E-02    1.13992E-02    1.83227E-04    7.10176E-02
        3.528    2.90031E-03    2.76595E-02    6.87822E-03    8.82289E-05    3.75263E-02
        3.944    9.70455E-04    1.55333E-02    4.25153E-03    4.38409E-05    2.07992E-02
        4.360    3.15196E-04    9.00359E-03    2.68576E-03    2.24445E-05    1.20270E-02
        4.776    1.00020E-04    5.36414E-03    1.73034E-03    1.18159E-05    7.20632E-03
        5.192    3.11580E-05    3.27400E-03    1.13486E-03    6.38411E-06    4.44640E-03
        5.608    9.56256E-06    2.04163E-03    7.56488E-04    3.53330E-06    2.81122E-03
        6.024    2.89922E-06    1.29787E-03    5.11808E-04    1.99957E-06    1.81458E-03
        6.440    8.70170E-07    8.39508E-04    3.51013E-04    1.15519E-06    1.19255E-03
        6.856    2.58975E-07    5.51659E-04    2.43772E-04    6.80278E-07    7.96370E-04
        7.272    7.65264E-08    3.67771E-04    1.71266E-04    4.07791E-07    5.39522E-04
        7.688    2.24762E-08    2.48445E-04    1.21624E-04    2.48525E-07    3.70341E-04
        8.104    6.56695E-09    1.69896E-04    8.72370E-05    1.53813E-07    2.57293E-04
        8.520    1.91003E-09    1.17501E-04    6.31564E-05    9.65731E-08    1.80755E-04
        8.936    5.53360E-10    8.21203E-05    4.61216E-05    6.14543E-08    1.28304E-04
        9.352    1.59763E-10    5.79568E-05    3.39565E-05    3.96010E-08    9.19530E-05
        9.768    4.59855E-11    4.12782E-05    2.51914E-05    2.58209E-08    6.64955E-05
       10.184    1.32007E-11    2.96517E-05    1.88233E-05    1.70229E-08    4.84920E-05
       10.600    3.78035E-12    2.14716E-05    1.41602E-05    1.13395E-08    3.56431E-05
       11.016    1.08028E-12    1.56660E-05    1.07203E-05    7.62764E-09    2.63939E-05
       11.432    3.08110E-13    1.15118E-05    8.16495E-06    5.17802E-09    1.96819E-05
       11.848    8.77251E-14    8.51627E-06    6.25409E-06    3.54553E-09    1.47739E-05
       12.264    2.49380E-14    6.34044E-06    4.81620E-06    2.44751E-09    1.11591E-05
       12.680    7.07915E-15    4.74906E-06    3.72777E-06    1.70250E-09    8.47853E-06
       13.096    2.00697E-15    3.57752E-06    2.89919E-06    1.19282E-09    6.47790E-06
       13.512    5.68313E-16    2.70967E-06    2.26502E-06    8.41411E-10    4.97553E-06
       13.928    1.60756E-16    2.06297E-06    1.77715E-06    5.97323E-10    3.84072E-06
       14.344    4.54271E-17    1.57836E-06    1.39999E-06    4.26593E-10    2.97878E-06
       14.760    1.28253E-17    1.21324E-06    1.10705E-06    3.06381E-10    2.32059E-06
       15.176    3.61791E-18    9.36732E-07    8.78501E-07    2.21207E-10    1.81545E-06
       15.592    1.01979E-18    7.26297E-07    6.99427E-07    1.60500E-10    1.42588E-06
       16.008    2.87245E-19    5.65388E-07    5.58541E-07    1.16989E-10    1.12405E-06
       16.424    8.08545E-20    4.41788E-07    4.47265E-07    8.56372E-11    8.89139E-07
       16.840    2.27451E-20    3.46432E-07    3.59046E-07    6.29332E-11    7.05541E-07
       17.256    6.39473E-21    2.72555E-07    2.88856E-07    4.64144E-11    5.61457E-07
       17.672    1.79689E-21    2.15087E-07    2.32821E-07    3.43425E-11    4.47942E-07
       18.088    5.04668E-22    1.70209E-07    1.87941E-07    2.54839E-11    3.58175E-07
       18.504    1.41672E-22    1.35030E-07    1.51888E-07    1.89581E-11    2.86936E-07
       18.920    3.97534E-23    1.07354E-07    1.22842E-07    1.41336E-11    2.30210E-07
       19.336    1.11502E-23    8.55046E-08    9.93812E-08    1.05553E-11    1.84896E-07
       19.752    3.12626E-24    6.81986E-08    8.03866E-08    7.89328E-12    1.48593E-07
       20.168    8.76210E-25    5.44477E-08    6.49759E-08    5.90770E-12    1.19429E-07
       20.584    2.45495E-25    4.34892E-08    5.24507E-08    4.42322E-12    9.59444E-08
