          %pt            TT            TS            SS            SS2j            Tot
        0.050    2.11134E-03    1.78589E-06    1.00730E-06    5.67451E-03    7.78865E-03
        1.048    8.55273E-04    3.20622E-03    2.81367E-03    1.92339E+01    1.92408E+01
        2.045    8.48363E-05    7.32847E-03    1.00770E-02    7.46913E+01    7.47088E+01
        3.043    3.20192E-06    4.66599E-03    1.44065E-02    1.34862E+02    1.34881E+02
        4.040    6.60870E-08    1.41811E-03    1.49720E-02    1.80806E+02    1.80822E+02
        5.038    9.38008E-10    2.33838E-04    1.42196E-02    2.10342E+02    2.10357E+02
        6.035    1.04798E-11    2.29464E-05    1.29457E-02    2.26426E+02    2.26439E+02
        7.033    9.98681E-14    1.85635E-06    1.15524E-02    2.32794E+02    2.32806E+02
        8.030    8.52810E-16    1.43188E-07    1.02134E-02    2.32521E+02    2.32531E+02
        9.028    6.73415E-18    1.07100E-08    8.99235E-03    2.27828E+02    2.27837E+02
       10.025    5.02037E-20    7.85368E-10    7.90351E-03    2.20240E+02    2.20248E+02
       11.023    3.58396E-22    5.68628E-11    6.94055E-03    2.10778E+02    2.10785E+02
       12.020    2.47449E-24    4.08374E-12    6.08970E-03    2.00116E+02    2.00122E+02
       13.018    1.66422E-26    2.91798E-13    5.33553E-03    1.88702E+02    1.88707E+02
       14.015    1.09606E-28    2.07867E-14    4.66339E-03    1.76832E+02    1.76836E+02
       15.013    7.09702E-31    1.47832E-15    4.06035E-03    1.64703E+02    1.64707E+02
       16.010    4.53162E-33    1.05059E-16    3.51546E-03    1.52452E+02    1.52456E+02
       17.008    2.86016E-35    7.46557E-18    3.01978E-03    1.40175E+02    1.40178E+02
       18.005    1.78770E-37    5.30700E-19    2.56633E-03    1.27940E+02    1.27943E+02
       19.003    1.10818E-39    3.77504E-20    2.15003E-03    1.15805E+02    1.15807E+02
