          %pt            TT            TS            SS            SS2j            Tot
        0.050    2.11134E-03    1.55483E-08    3.16562E-08    1.87103E-07    2.11157E-03
        1.048    8.55273E-04    2.30241E-05    1.42700E-05    1.87787E-04    1.08035E-03
        2.045    8.48363E-05    5.25477E-05    4.61764E-05    7.30728E-04    9.14288E-04
        3.043    3.20192E-06    3.40717E-05    3.57356E-05    7.88151E-04    8.61160E-04
        4.040    6.60870E-08    1.00631E-05    1.74773E-05    2.62799E-04    2.90406E-04
        5.038    9.38008E-10    1.45755E-06    8.94075E-06    9.78651E-05    1.08264E-04
        6.035    1.04798E-11    1.01395E-07    4.81777E-06    4.02531E-05    4.51723E-05
        7.033    9.98681E-14    5.34518E-09    2.72987E-06    1.80330E-05    2.07682E-05
        8.030    8.52810E-16    2.80623E-10    1.61870E-06    8.68404E-06    1.03030E-05
        9.028    6.73415E-18    1.48023E-11    9.98956E-07    4.44532E-06    5.44429E-06
       10.025    5.02037E-20    7.88185E-13    6.38283E-07    2.39676E-06    3.03504E-06
       11.023    3.58396E-22    4.24627E-14    4.20251E-07    1.35091E-06    1.77116E-06
       12.020    2.47449E-24    2.31659E-15    2.83914E-07    7.91109E-07    1.07502E-06
       13.018    1.66422E-26    1.27997E-16    1.96057E-07    4.78886E-07    6.74943E-07
       14.015    1.09606E-28    7.16026E-18    1.37898E-07    2.98357E-07    4.36255E-07
       15.013    7.09702E-31    4.05330E-19    9.84564E-08    1.90602E-07    2.89058E-07
       16.010    4.53162E-33    2.32046E-20    7.11170E-08    1.24443E-07    1.95560E-07
       17.008    2.86016E-35    1.34260E-21    5.17864E-08    8.27851E-08    1.34572E-07
       18.005    1.78770E-37    7.84599E-23    3.78692E-08    5.59536E-08    9.38228E-08
       19.003    1.10818E-39    4.62820E-24    2.76850E-08    3.83146E-08    6.59996E-08
