          %pt            TT            TS            SS            SS2j            Tot
        0.050    9.01885E-01    2.13190E-04    0.00000E+00    0.00000E+00    9.02098E-01
        0.250    8.73930E-01    1.76326E-03    0.00000E+00    0.00000E+00    8.75693E-01
        0.449    8.09756E-01    5.62365E-03    0.00000E+00    0.00000E+00    8.15379E-01
        0.649    7.11988E-01    1.35660E-02    0.00000E+00    0.00000E+00    7.25554E-01
        0.848    5.90301E-01    2.78646E-02    0.00000E+00    0.00000E+00    6.18165E-01
        1.048    4.61123E-01    5.17414E-02    0.00000E+00    0.00000E+00    5.12864E-01
        1.247    3.40734E-01    8.88838E-02    0.00000E+00    0.00000E+00    4.29618E-01
        1.447    2.39661E-01    1.41705E-01    0.00000E+00    0.00000E+00    3.81366E-01
        1.646    1.61553E-01    2.08802E-01    0.00000E+00    0.00000E+00    3.70355E-01
        1.846    1.05037E-01    2.82677E-01    0.00000E+00    0.00000E+00    3.87714E-01
        2.045    6.62379E-02    3.49139E-01    0.00000E+00    0.00000E+00    4.15377E-01
