          %x            Dc/Dg
        0.010    1.08679E-07
        0.020    3.82433E-07
        0.030    7.92278E-07
        0.040    1.32116E-06
        0.050    1.95596E-06
        0.060    2.68570E-06
        0.070    3.50080E-06
        0.080    4.39270E-06
        0.090    5.35362E-06
        0.100    6.37647E-06
        0.110    7.45472E-06
        0.120    8.58233E-06
        0.130    9.75377E-06
        0.140    1.09639E-05
        0.150    1.22080E-05
        0.160    1.34818E-05
        0.170    1.47812E-05
        0.180    1.61028E-05
        0.190    1.74433E-05
        0.200    1.87998E-05
        0.210    2.01697E-05
        0.220    2.15509E-05
        0.230    2.29414E-05
        0.240    2.43397E-05
        0.250    2.57445E-05
        0.260    2.71548E-05
        0.270    2.85700E-05
        0.280    2.99898E-05
        0.290    3.14139E-05
        0.300    3.28427E-05
        0.310    3.42766E-05
        0.320    3.57162E-05
        0.330    3.71625E-05
        0.340    3.86166E-05
        0.350    4.00799E-05
        0.360    4.15539E-05
        0.370    4.30403E-05
        0.380    4.45409E-05
        0.390    4.60576E-05
        0.400    4.75925E-05
        0.410    4.91476E-05
        0.420    5.07249E-05
        0.430    5.23266E-05
        0.440    5.39546E-05
        0.450    5.56107E-05
        0.460    5.72966E-05
        0.470    5.90139E-05
        0.480    6.07636E-05
        0.490    6.25468E-05
        0.500    6.43637E-05
        0.510    6.62145E-05
        0.520    6.80986E-05
        0.530    7.00147E-05
        0.540    7.19610E-05
        0.550    7.39347E-05
        0.560    7.59324E-05
        0.570    7.79494E-05
        0.580    7.99802E-05
        0.590    8.20179E-05
        0.600    8.40546E-05
        0.610    8.60808E-05
        0.620    8.80858E-05
        0.630    9.00571E-05
        0.640    9.19809E-05
        0.650    9.38415E-05
        0.660    9.56217E-05
        0.670    9.73023E-05
        0.680    9.88626E-05
        0.690    1.00280E-04
        0.700    1.01530E-04
        0.710    1.02587E-04
        0.720    1.03423E-04
        0.730    1.04010E-04
        0.740    1.04319E-04
        0.750    1.04318E-04
        0.760    1.03977E-04
        0.770    1.03266E-04
        0.780    1.02155E-04
        0.790    1.00615E-04
        0.800    9.86228E-05
        0.810    9.61543E-05
        0.820    9.31924E-05
        0.830    8.97249E-05
        0.840    8.57466E-05
        0.850    8.12607E-05
        0.860    7.62800E-05
        0.870    7.08285E-05
        0.880    6.49428E-05
        0.890    5.86731E-05
        0.900    5.20852E-05
        0.910    4.52619E-05
        0.920    3.83050E-05
        0.930    3.13384E-05
        0.940    2.45132E-05
        0.950    1.80144E-05
        0.960    1.20710E-05
        0.970    6.96690E-06
        0.980    3.04423E-06
        0.990    6.66328E-07
        1.000    0.00000E+00
