          %pt            Sj
        0.057    4.21886E-05
        0.063    4.62602E-05
        0.069    5.04032E-05
        0.076    5.46192E-05
        0.082    5.89342E-05
        0.089    6.33944E-05
        0.095    6.79895E-05
        0.102    7.27306E-05
        0.109    7.76281E-05
        0.115    8.26731E-05
        0.122    8.79091E-05
        0.128    9.33270E-05
        0.134    9.89338E-05
        0.141    1.04723E-04
        0.147    1.10727E-04
        0.154    1.16832E-04
        0.161    1.23226E-04
        0.167    1.29847E-04
        0.174    1.36702E-04
        0.180    1.43784E-04
        0.186    1.51096E-04
        0.193    1.58629E-04
        0.199    1.66412E-04
        0.206    1.74420E-04
        0.212    1.82688E-04
        0.219    1.91203E-04
        0.226    1.99956E-04
        0.232    2.08974E-04
        0.238    2.18247E-04
        0.245    2.27778E-04
        0.252    2.37569E-04
        0.258    2.47586E-04
        0.264    2.57902E-04
        0.271    2.68467E-04
        0.278    2.79317E-04
        0.284    2.90437E-04
        0.291    3.01815E-04
        0.297    3.13479E-04
        0.304    3.25417E-04
        0.310    3.37631E-04
        0.317    3.50122E-04
        0.323    3.62892E-04
        0.330    3.75930E-04
        0.336    3.89243E-04
        0.343    4.02855E-04
        0.349    4.16750E-04
        0.356    4.30930E-04
        0.362    4.45360E-04
        0.369    4.60098E-04
        0.375    4.75135E-04
        0.382    4.90451E-04
        0.388    5.06042E-04
        0.395    5.21945E-04
        0.401    5.38139E-04
        0.407    5.54616E-04
        0.414    5.71382E-04
        0.421    5.88434E-04
        0.427    6.05799E-04
        0.434    6.23450E-04
        0.440    6.41405E-04
        0.447    6.59656E-04
        0.453    6.78205E-04
        0.460    6.97043E-04
        0.466    7.16176E-04
        0.473    7.35621E-04
        0.479    7.55367E-04
        0.486    7.75405E-04
        0.492    7.95754E-04
        0.499    8.16405E-04
        0.505    8.37344E-04
        0.512    8.58604E-04
        0.518    8.80149E-04
        0.525    9.02021E-04
        0.531    9.24201E-04
        0.538    9.46689E-04
        0.544    9.69487E-04
        0.551    9.92587E-04
        0.557    1.01598E-03
        0.563    1.03971E-03
        0.570    1.06376E-03
        0.576    1.08811E-03
        0.583    1.11278E-03
        0.590    1.13777E-03
        0.596    1.16308E-03
        0.603    1.18872E-03
        0.609    1.21465E-03
        0.616    1.24092E-03
        0.622    1.26747E-03
        0.628    1.29440E-03
        0.635    1.32164E-03
        0.641    1.34922E-03
        0.648    1.37713E-03
        0.655    1.40536E-03
        0.661    1.43380E-03
        0.668    1.46270E-03
        0.674    1.49191E-03
        0.681    1.52149E-03
        0.687    1.55141E-03
        0.693    1.58167E-03
        0.700    1.61228E-03
        0.706    1.64322E-03
        0.713    1.67452E-03
        0.720    1.70617E-03
        0.726    1.73815E-03
        0.733    1.77051E-03
        0.739    1.80323E-03
        0.746    1.83630E-03
        0.752    1.86974E-03
        0.759    1.90354E-03
        0.765    1.93768E-03
        0.771    1.97220E-03
        0.778    2.00709E-03
        0.785    2.04237E-03
        0.791    2.07803E-03
        0.798    2.11406E-03
        0.804    2.15047E-03
        0.811    2.18726E-03
        0.817    2.22445E-03
        0.824    2.26203E-03
        0.830    2.30000E-03
        0.836    2.33836E-03
        0.843    2.37713E-03
        0.850    2.41629E-03
        0.856    2.45585E-03
        0.863    2.49581E-03
        0.869    2.53619E-03
        0.876    2.57700E-03
        0.882    2.61823E-03
        0.889    2.65987E-03
        0.895    2.70193E-03
        0.901    2.74443E-03
        0.908    2.78736E-03
        0.914    2.83072E-03
        0.921    2.87452E-03
        0.928    2.91876E-03
        0.934    2.96346E-03
        0.941    3.00859E-03
        0.947    3.05412E-03
        0.954    3.10017E-03
        0.960    3.14669E-03
        0.966    3.19366E-03
        0.973    3.24112E-03
        0.979    3.28904E-03
        0.986    3.33744E-03
        0.993    3.38631E-03
        0.999    3.43568E-03
        1.005    3.48554E-03
        1.012    3.53589E-03
        1.018    3.58672E-03
        1.025    3.63805E-03
        1.031    3.68991E-03
        1.038    3.74225E-03
        1.044    3.79512E-03
        1.051    3.84852E-03
        1.058    3.90245E-03
        1.064    3.95690E-03
        1.070    4.01187E-03
        1.077    4.06739E-03
        1.083    4.12345E-03
        1.090    4.18005E-03
        1.096    4.23720E-03
        1.103    4.29491E-03
