          %pt            Sj
        0.057    7.30239E-03
        0.063    7.83683E-03
        0.069    8.34979E-03
        0.076    8.84362E-03
        0.082    9.32016E-03
        0.089    9.78093E-03
        0.095    1.02272E-02
        0.102    1.06602E-02
        0.109    1.10807E-02
        0.115    1.14895E-02
        0.122    1.18875E-02
        0.128    1.22751E-02
        0.134    1.26530E-02
        0.141    1.30216E-02
        0.147    1.33814E-02
        0.154    1.37327E-02
        0.161    1.40759E-02
        0.167    1.44116E-02
        0.174    1.47398E-02
        0.180    1.50608E-02
        0.186    1.53750E-02
        0.193    1.56825E-02
        0.199    1.59836E-02
        0.206    1.62785E-02
        0.212    1.65673E-02
        0.219    1.68503E-02
        0.226    1.71277E-02
        0.232    1.73995E-02
        0.238    1.76659E-02
        0.245    1.79271E-02
        0.252    1.81832E-02
        0.258    1.84343E-02
        0.264    1.86805E-02
        0.271    1.89220E-02
        0.278    1.91589E-02
        0.284    1.93911E-02
        0.291    1.96190E-02
        0.297    1.98425E-02
        0.304    2.00617E-02
        0.310    2.02768E-02
        0.317    2.04877E-02
        0.323    2.06947E-02
        0.330    2.08976E-02
        0.336    2.10968E-02
        0.343    2.12921E-02
        0.349    2.14836E-02
        0.356    2.16715E-02
        0.362    2.18558E-02
        0.369    2.20366E-02
        0.375    2.22139E-02
        0.382    2.23877E-02
        0.388    2.25581E-02
        0.395    2.27253E-02
        0.401    2.28891E-02
        0.407    2.30498E-02
        0.414    2.32072E-02
        0.421    2.33616E-02
        0.427    2.35128E-02
        0.434    2.36611E-02
        0.440    2.38063E-02
        0.447    2.39486E-02
        0.453    2.40880E-02
        0.460    2.42246E-02
        0.466    2.43583E-02
        0.473    2.44893E-02
        0.479    2.46175E-02
        0.486    2.47430E-02
        0.492    2.48657E-02
        0.499    2.49859E-02
        0.505    2.51035E-02
        0.512    2.52186E-02
        0.518    2.53311E-02
        0.525    2.54412E-02
        0.531    2.55488E-02
        0.538    2.56540E-02
        0.544    2.57568E-02
        0.551    2.58572E-02
        0.557    2.59553E-02
        0.563    2.60511E-02
        0.570    2.61447E-02
        0.576    2.62360E-02
        0.583    2.63251E-02
        0.590    2.64120E-02
        0.596    2.64968E-02
        0.603    2.65795E-02
        0.609    2.66601E-02
        0.616    2.67386E-02
        0.622    2.68151E-02
        0.628    2.68896E-02
        0.635    2.69621E-02
        0.641    2.70327E-02
        0.648    2.71013E-02
        0.655    2.71680E-02
        0.661    2.72328E-02
        0.668    2.72958E-02
        0.674    2.73570E-02
        0.681    2.74164E-02
        0.687    2.74740E-02
        0.693    2.75298E-02
        0.700    2.75839E-02
        0.706    2.76363E-02
        0.713    2.76871E-02
        0.720    2.77361E-02
        0.726    2.77836E-02
        0.733    2.78294E-02
        0.739    2.78736E-02
        0.746    2.79163E-02
        0.752    2.79574E-02
        0.759    2.79970E-02
        0.765    2.80351E-02
        0.771    2.80717E-02
        0.778    2.81068E-02
        0.785    2.81406E-02
        0.791    2.81729E-02
        0.798    2.82038E-02
        0.804    2.82333E-02
        0.811    2.82614E-02
        0.817    2.82882E-02
        0.824    2.83137E-02
        0.830    2.83379E-02
        0.836    2.83608E-02
        0.843    2.83825E-02
        0.850    2.84029E-02
        0.856    2.84221E-02
        0.863    2.84400E-02
        0.869    2.84568E-02
        0.876    2.84724E-02
        0.882    2.84869E-02
        0.889    2.85002E-02
        0.895    2.85123E-02
        0.901    2.85234E-02
        0.908    2.85334E-02
        0.914    2.85423E-02
        0.921    2.85501E-02
        0.928    2.85569E-02
        0.934    2.85627E-02
        0.941    2.85674E-02
        0.947    2.85712E-02
        0.954    2.85740E-02
        0.960    2.85757E-02
        0.966    2.85766E-02
        0.973    2.85764E-02
        0.979    2.85754E-02
        0.986    2.85734E-02
        0.993    2.85705E-02
        0.999    2.85667E-02
        1.005    2.85620E-02
        1.012    2.85565E-02
        1.018    2.85500E-02
        1.025    2.85428E-02
        1.031    2.85346E-02
        1.038    2.85257E-02
        1.044    2.85159E-02
