          %pt            TT            TS            SS            Tot
        0.100    3.02528E-02    3.40600E-06    5.23388E-05    3.03085E-02
        0.169    3.02910E-02    4.64282E-06    4.60574E-05    3.03417E-02
        0.238    3.03270E-02    6.17118E-06    4.20141E-05    3.03752E-02
        0.307    3.03370E-02    7.98664E-06    3.91112E-05    3.03841E-02
        0.376    3.02928E-02    1.00841E-05    3.69401E-05    3.03399E-02
        0.445    3.01657E-02    1.24611E-05    3.52975E-05    3.02135E-02
        0.514    2.99284E-02    1.51185E-05    3.40641E-05    2.99776E-02
        0.583    2.95580E-02    1.80612E-05    3.31619E-05    2.96093E-02
        0.652    2.90380E-02    2.12992E-05    3.25371E-05    2.90919E-02
        0.721    2.83591E-02    2.48487E-05    3.21515E-05    2.84161E-02
        0.790    2.75200E-02    2.87335E-05    3.19772E-05    2.75807E-02
        0.859    2.65269E-02    3.29848E-05    3.19945E-05    2.65919E-02
        0.928    2.53928E-02    3.76413E-05    3.21892E-05    2.54626E-02
        0.997    2.41363E-02    4.27481E-05    3.25509E-05    2.42116E-02
        1.066    2.27800E-02    4.83548E-05    3.30719E-05    2.28614E-02
        1.135    2.13489E-02    5.45129E-05    3.37457E-05    2.14372E-02
        1.204    1.98692E-02    6.12726E-05    3.45658E-05    1.99651E-02
        1.273    1.83666E-02    6.86787E-05    3.55246E-05    1.84708E-02
        1.342    1.68654E-02    7.67665E-05    3.66128E-05    1.69788E-02
        1.411    1.53875E-02    8.55571E-05    3.78185E-05    1.55108E-02
        1.480    1.39519E-02    9.50533E-05    3.91264E-05    1.40861E-02
        1.549    1.25746E-02    1.05235E-04    4.05178E-05    1.27204E-02
        1.618    1.12681E-02    1.16055E-04    4.19698E-05    1.14261E-02
        1.687    1.00415E-02    1.27436E-04    4.34556E-05    1.02124E-02
        1.756    8.90109E-03    1.39270E-04    4.49447E-05    9.08530E-03
        1.825    7.85017E-03    1.51414E-04    4.64026E-05    8.04799E-03
        1.894    6.88976E-03    1.63692E-04    4.77916E-05    7.10125E-03
        1.963    6.01884E-03    1.75896E-04    4.90717E-05    6.24381E-03
        2.032    5.23474E-03    1.87790E-04    5.02007E-05    5.47274E-03
        2.101    4.53357E-03    1.99110E-04    5.11357E-05    4.78381E-03
        2.170    3.91048E-03    2.09577E-04    5.18342E-05    4.17189E-03
        2.239    3.36006E-03    2.18899E-04    5.22549E-05    3.63121E-03
        2.308    2.87652E-03    2.26784E-04    5.23598E-05    3.15566E-03
        2.377    2.45395E-03    2.32946E-04    5.21153E-05    2.73901E-03
        2.446    2.08646E-03    2.37125E-04    5.14942E-05    2.37508E-03
        2.515    1.76836E-03    2.39093E-04    5.04774E-05    2.05793E-03
        2.584    1.49420E-03    2.38670E-04    4.90557E-05    1.78192E-03
        2.653    1.25888E-03    2.35742E-04    4.72321E-05    1.54185E-03
        2.722    1.05769E-03    2.30271E-04    4.50236E-05    1.33298E-03
        2.791    8.86297E-04    2.22312E-04    4.24631E-05    1.15107E-03
        2.860    7.40806E-04    2.12022E-04    3.96010E-05    9.92428E-04
        2.929    6.17704E-04    1.99669E-04    3.65068E-05    8.53880E-04
        2.998    5.13872E-04    1.85640E-04    3.32690E-05    7.32781E-04
        3.067    4.26551E-04    1.70424E-04    2.99950E-05    6.26970E-04
        3.136    3.53322E-04    1.54594E-04    2.68068E-05    5.34723E-04
        3.205    2.92076E-04    1.38754E-04    2.38310E-05    4.54660E-04
        3.274    2.40980E-04    1.23422E-04    2.11731E-05    3.85575E-04
        3.343    1.98456E-04    1.08983E-04    1.88369E-05    3.26276E-04
        3.412    1.63147E-04    9.56801E-05    1.67841E-05    2.75611E-04
        3.481    1.33893E-04    8.36327E-05    1.49739E-05    2.32499E-04
        3.550    1.09706E-04    7.28678E-05    1.33788E-05    1.95953E-04
        3.619    8.97483E-05    6.33473E-05    1.19679E-05    1.65064E-04
        3.688    7.33117E-05    5.49928E-05    1.07212E-05    1.39026E-04
        3.757    5.97996E-05    4.77035E-05    9.61519E-06    1.17118E-04
        3.826    4.87108E-05    4.13702E-05    8.63526E-06    9.87163E-05
        3.895    3.96259E-05    3.58838E-05    7.76363E-06    8.32733E-05
        3.964    3.21944E-05    3.11404E-05    6.98909E-06    7.03239E-05
        4.033    2.61248E-05    2.70439E-05    6.29814E-06    5.94668E-05
        4.102    2.11746E-05    2.35085E-05    5.68262E-06    5.03658E-05
        4.171    1.71431E-05    2.04576E-05    5.13281E-06    4.27335E-05
        4.240    1.38641E-05    1.78239E-05    4.64058E-06    3.63286E-05
        4.309    1.12006E-05    1.55493E-05    4.20031E-06    3.09502E-05
        4.378    9.03964E-06    1.35835E-05    3.80563E-06    2.64287E-05
        4.447    7.28857E-06    1.18829E-05    3.45148E-06    2.26230E-05
        4.516    5.87122E-06    1.04103E-05    3.13327E-06    1.94147E-05
        4.585    4.72523E-06    9.13359E-06    2.84714E-06    1.67060E-05
        4.654    3.79963E-06    8.02534E-06    2.58962E-06    1.44146E-05
        4.723    3.05279E-06    7.06216E-06    2.35794E-06    1.24729E-05
        4.792    2.45076E-06    6.22408E-06    2.14886E-06    1.08237E-05
        4.861    1.96592E-06    5.49371E-06    1.96020E-06    9.41983E-06
        4.930    1.57582E-06    4.85634E-06    1.78979E-06    8.22194E-06
        4.999    1.26220E-06    4.29951E-06    1.63597E-06    7.19769E-06
        5.068    1.01030E-06    3.81213E-06    1.49654E-06    6.31897E-06
        5.137    8.08113E-07    3.38511E-06    1.37024E-06    5.56346E-06
        5.206    6.45968E-07    3.01021E-06    1.25602E-06    4.91220E-06
        5.275    5.16029E-07    2.68080E-06    1.15210E-06    4.34892E-06
        5.344    4.11975E-07    2.39073E-06    1.05768E-06    3.86038E-06
        5.413    3.28708E-07    2.13515E-06    9.72161E-07    3.43601E-06
        5.482    2.62119E-07    1.90947E-06    8.94085E-07    3.06567E-06
        5.551    2.08903E-07    1.70995E-06    8.22984E-07    2.74184E-06
        5.620    1.66402E-07    1.53327E-06    7.58461E-07    2.45813E-06
        5.689    1.32478E-07    1.37676E-06    6.99346E-07    2.20859E-06
        5.758    1.05416E-07    1.23765E-06    6.45621E-07    1.98869E-06
        5.827    8.38418E-08    1.11406E-06    5.96302E-07    1.79420E-06
        5.896    6.66508E-08    1.00415E-06    5.51201E-07    1.62200E-06
        5.965    5.29602E-08    9.06075E-07    5.10196E-07    1.46923E-06
        6.034    4.20629E-08    8.18732E-07    4.72385E-07    1.33318E-06
        6.103    3.33934E-08    7.40752E-07    4.37989E-07    1.21213E-06
        6.172    2.64995E-08    6.71103E-07    4.06189E-07    1.10379E-06
        6.241    2.10202E-08    6.08835E-07    3.77249E-07    1.00710E-06
        6.310    1.66672E-08    5.53122E-07    3.50414E-07    9.20203E-07
        6.379    1.32105E-08    5.03196E-07    3.25987E-07    8.42394E-07
        6.448    1.04668E-08    4.58449E-07    3.03518E-07    7.72434E-07
        6.517    8.28994E-09    4.18332E-07    2.82592E-07    7.09214E-07
        6.586    6.56346E-09    3.82250E-07    2.63537E-07    6.52350E-07
        6.655    5.19474E-09    3.49720E-07    2.45735E-07    6.00649E-07
        6.724    4.11007E-09    3.20479E-07    2.29524E-07    5.54113E-07
        6.793    3.25081E-09    2.94107E-07    2.14555E-07    5.11913E-07
        6.862    2.57038E-09    2.70279E-07    2.00501E-07    4.73350E-07
        6.931    2.03174E-09    2.48700E-07    1.87701E-07    4.38433E-07
