          %pt            TT            TS            SS            Tot
        0.050    2.31559E-05    3.73884E-10    2.58345E-09    2.31588E-05
        0.056    2.31532E-05    4.58542E-10    3.06092E-09    2.31567E-05
        0.063    2.31502E-05    5.50304E-10    3.56073E-09    2.31543E-05
        0.069    2.31469E-05    6.49031E-10    4.08154E-09    2.31516E-05
        0.076    2.31433E-05    7.54619E-10    4.62223E-09    2.31487E-05
        0.082    2.31393E-05    8.66994E-10    5.18184E-09    2.31454E-05
        0.089    2.31350E-05    9.86107E-10    5.75957E-09    2.31418E-05
        0.095    2.31304E-05    1.11193E-09    6.35469E-09    2.31379E-05
        0.102    2.31254E-05    1.24445E-09    6.96657E-09    2.31336E-05
        0.108    2.31201E-05    1.38367E-09    7.59467E-09    2.31291E-05
        0.115    2.31145E-05    1.52960E-09    8.23847E-09    2.31243E-05
        0.121    2.31085E-05    1.68229E-09    8.89753E-09    2.31191E-05
        0.127    2.31022E-05    1.84175E-09    9.57145E-09    2.31136E-05
        0.134    2.30956E-05    2.00806E-09    1.02599E-08    2.31079E-05
        0.140    2.30886E-05    2.18125E-09    1.09624E-08    2.31017E-05
        0.147    2.30812E-05    2.36139E-09    1.16788E-08    2.30953E-05
        0.153    2.30735E-05    2.54855E-09    1.24087E-08    2.30885E-05
        0.160    2.30655E-05    2.74280E-09    1.31519E-08    2.30814E-05
        0.166    2.30571E-05    2.94423E-09    1.39081E-08    2.30739E-05
        0.173    2.30483E-05    3.15292E-09    1.46770E-08    2.30662E-05
        0.179    2.30392E-05    3.36895E-09    1.54586E-08    2.30580E-05
        0.185    2.30297E-05    3.59242E-09    1.62525E-08    2.30496E-05
        0.192    2.30199E-05    3.82343E-09    1.70585E-08    2.30408E-05
        0.198    2.30097E-05    4.06206E-09    1.78765E-08    2.30316E-05
        0.205    2.29991E-05    4.30841E-09    1.87062E-08    2.30221E-05
        0.211    2.29881E-05    4.56260E-09    1.95476E-08    2.30122E-05
        0.218    2.29767E-05    4.82471E-09    2.04004E-08    2.30020E-05
        0.224    2.29650E-05    5.09486E-09    2.12644E-08    2.29914E-05
        0.231    2.29529E-05    5.37315E-09    2.21396E-08    2.29804E-05
        0.237    2.29404E-05    5.65968E-09    2.30257E-08    2.29691E-05
        0.244    2.29275E-05    5.95456E-09    2.39226E-08    2.29574E-05
        0.250    2.29142E-05    6.25790E-09    2.48302E-08    2.29453E-05
        0.256    2.29005E-05    6.56981E-09    2.57483E-08    2.29328E-05
        0.263    2.28864E-05    6.89038E-09    2.66768E-08    2.29200E-05
        0.269    2.28719E-05    7.21974E-09    2.76156E-08    2.29067E-05
        0.276    2.28570E-05    7.55797E-09    2.85644E-08    2.28931E-05
        0.282    2.28416E-05    7.90520E-09    2.95233E-08    2.28790E-05
        0.289    2.28259E-05    8.26152E-09    3.04920E-08    2.28646E-05
        0.295    2.28097E-05    8.62703E-09    3.14704E-08    2.28498E-05
        0.302    2.27931E-05    9.00185E-09    3.24584E-08    2.28345E-05
        0.308    2.27760E-05    9.38607E-09    3.34559E-08    2.28189E-05
        0.314    2.27585E-05    9.77979E-09    3.44628E-08    2.28028E-05
        0.321    2.27406E-05    1.01831E-08    3.54788E-08    2.27863E-05
        0.327    2.27223E-05    1.05961E-08    3.65040E-08    2.27694E-05
        0.334    2.27035E-05    1.10190E-08    3.75382E-08    2.27520E-05
        0.340    2.26842E-05    1.14517E-08    3.85813E-08    2.27342E-05
        0.347    2.26645E-05    1.18944E-08    3.96330E-08    2.27160E-05
        0.353    2.26443E-05    1.23471E-08    4.06935E-08    2.26973E-05
        0.360    2.26237E-05    1.28101E-08    4.17624E-08    2.26782E-05
        0.366    2.26026E-05    1.32832E-08    4.28397E-08    2.26587E-05
        0.373    2.25810E-05    1.37668E-08    4.39253E-08    2.26387E-05
        0.379    2.25589E-05    1.42607E-08    4.50191E-08    2.26182E-05
        0.385    2.25364E-05    1.47651E-08    4.61209E-08    2.25973E-05
        0.392    2.25133E-05    1.52801E-08    4.72306E-08    2.25759E-05
        0.398    2.24898E-05    1.58058E-08    4.83481E-08    2.25540E-05
        0.405    2.24658E-05    1.63422E-08    4.94733E-08    2.25316E-05
        0.411    2.24413E-05    1.68894E-08    5.06061E-08    2.25088E-05
        0.418    2.24163E-05    1.74474E-08    5.17463E-08    2.24855E-05
        0.424    2.23908E-05    1.80164E-08    5.28939E-08    2.24617E-05
        0.431    2.23648E-05    1.85964E-08    5.40487E-08    2.24374E-05
        0.437    2.23382E-05    1.91874E-08    5.52106E-08    2.24126E-05
        0.443    2.23112E-05    1.97896E-08    5.63795E-08    2.23874E-05
        0.450    2.22836E-05    2.04029E-08    5.75553E-08    2.23616E-05
        0.456    2.22555E-05    2.10274E-08    5.87378E-08    2.23353E-05
        0.463    2.22269E-05    2.16633E-08    5.99270E-08    2.23085E-05
        0.469    2.21977E-05    2.23104E-08    6.11228E-08    2.22812E-05
        0.476    2.21680E-05    2.29689E-08    6.23249E-08    2.22533E-05
        0.482    2.21378E-05    2.36388E-08    6.35334E-08    2.22250E-05
        0.489    2.21070E-05    2.43202E-08    6.47480E-08    2.21961E-05
        0.495    2.20757E-05    2.50130E-08    6.59687E-08    2.21667E-05
        0.502    2.20438E-05    2.57174E-08    6.71954E-08    2.21367E-05
        0.508    2.20114E-05    2.64333E-08    6.84279E-08    2.21062E-05
        0.514    2.19784E-05    2.71608E-08    6.96662E-08    2.20752E-05
        0.521    2.19449E-05    2.78999E-08    7.09101E-08    2.20437E-05
        0.527    2.19107E-05    2.86506E-08    7.21595E-08    2.20116E-05
        0.534    2.18761E-05    2.94130E-08    7.34143E-08    2.19789E-05
        0.540    2.18408E-05    3.01870E-08    7.46743E-08    2.19457E-05
        0.547    2.18050E-05    3.09727E-08    7.59396E-08    2.19119E-05
        0.553    2.17686E-05    3.17701E-08    7.72099E-08    2.18776E-05
        0.560    2.17317E-05    3.25792E-08    7.84852E-08    2.18427E-05
        0.566    2.16941E-05    3.34000E-08    7.97653E-08    2.18073E-05
