          %pt            int_Sj
        2.048    9.59470E-02
        2.096    3.47770E-01
        2.144    6.59682E-01
        2.192    9.57993E-01
        2.240    1.20313E+00
        2.288    1.38027E+00
        2.336    1.48948E+00
        2.384    1.53861E+00
        2.432    1.53863E+00
        2.480    1.50101E+00
        2.528    1.43629E+00
        2.576    1.35346E+00
        2.624    1.25979E+00
        2.672    1.16096E+00
        2.720    1.06118E+00
        2.768    9.63492E-01
        2.816    8.69969E-01
        2.864    7.81940E-01
        2.912    7.00170E-01
        2.960    6.25000E-01
        3.008    5.56473E-01
        3.056    4.94425E-01
        3.104    4.38552E-01
        3.152    3.88468E-01
        3.200    3.43739E-01
        3.248    3.03915E-01
        3.296    2.68546E-01
        3.344    2.37199E-01
        3.392    2.09460E-01
        3.440    1.84949E-01
        3.488    1.63311E-01
        3.536    1.44224E-01
        3.584    1.27399E-01
        3.632    1.12572E-01
        3.680    9.95103E-02
        3.728    8.80042E-02
        3.776    7.78684E-02
        3.824    6.89388E-02
        3.872    6.10701E-02
        3.920    5.41343E-02
        3.968    4.80186E-02
        4.016    4.26238E-02
        4.064    3.78625E-02
        4.112    3.36582E-02
        4.160    2.99436E-02
        4.208    2.66597E-02
        4.256    2.37548E-02
        4.304    2.11834E-02
        4.352    1.89055E-02
        4.400    1.68864E-02
        4.448    1.50953E-02
        4.496    1.35052E-02
        4.544    1.20926E-02
        4.592    1.08367E-02
        4.640    9.71923E-03
        4.688    8.72417E-03
        4.736    7.83739E-03
        4.784    7.04651E-03
        4.832    6.34059E-03
        4.880    5.71000E-03
        4.928    5.14627E-03
        4.976    4.64189E-03
        5.024    4.19027E-03
        5.072    3.78556E-03
        5.120    3.42260E-03
        5.168    3.09684E-03
        5.216    2.80423E-03
        5.264    2.54120E-03
        5.312    2.30456E-03
        5.360    2.09152E-03
        5.408    1.89956E-03
        5.456    1.72648E-03
        5.504    1.57038E-03
        5.552    1.42934E-03
        5.600    1.30187E-03
        5.648    1.18661E-03
        5.696    1.08229E-03
        5.744    9.87808E-04
        5.792    9.02182E-04
        5.840    8.24523E-04
        5.888    7.54042E-04
        5.936    6.90031E-04
        5.984    6.31857E-04
        6.032    5.78952E-04
        6.080    5.30806E-04
        6.128    4.86963E-04
        6.176    4.47012E-04
        6.224    4.10584E-04
        6.272    3.77347E-04
        6.320    3.47003E-04
        6.368    3.19282E-04
        6.416    2.93943E-04
        6.464    2.70766E-04
        6.512    2.49555E-04
        6.560    2.30131E-04
        6.608    2.12333E-04
        6.656    1.96015E-04
        6.704    1.81047E-04
        6.752    1.67308E-04
        6.800    1.54691E-04
        6.848    1.43097E-04
        6.896    1.32439E-04
        6.944    1.22634E-04
        6.992    1.13610E-04
        7.040    1.05301E-04
        7.088    9.76457E-05
        7.136    9.05891E-05
        7.184    8.40812E-05
        7.232    7.80764E-05
        7.280    7.25329E-05
        7.328    6.74129E-05
        7.376    6.26817E-05
        7.424    5.83078E-05
        7.472    5.42623E-05
        7.520    5.05187E-05
        7.568    4.70530E-05
        7.616    4.38431E-05
        7.664    4.08687E-05
        7.712    3.81114E-05
        7.760    3.55542E-05
        7.808    3.31816E-05
        7.856    3.09793E-05
        7.904    2.89342E-05
        7.952    2.70344E-05
        8.000    2.52687E-05
        8.048    2.36270E-05
        8.096    2.21001E-05
        8.144    2.06792E-05
        8.192    1.93567E-05
        8.240    1.81250E-05
        8.288    1.69776E-05
        8.336    1.59084E-05
        8.384    1.49115E-05
        8.432    1.39818E-05
        8.480    1.31145E-05
        8.528    1.23049E-05
        8.576    1.15809E-05
        8.624    1.08734E-05
        8.672    1.02124E-05
        8.720    9.59460E-06
        8.768    9.01697E-06
        8.816    8.47670E-06
        8.864    7.97123E-06
        8.912    7.49816E-06
        8.960    7.05527E-06
        9.008    6.64050E-06
        9.056    6.25192E-06
        9.104    5.88778E-06
        9.152    5.54644E-06
        9.200    5.22636E-06
        9.248    4.92613E-06
        9.296    4.64443E-06
        9.344    4.38004E-06
        9.392    4.13182E-06
        9.440    3.89871E-06
        9.488    3.67973E-06
        9.536    3.47397E-06
        9.584    3.28057E-06
        9.632    3.09873E-06
