          %pt            int_Sj
        2.048    1.50700E+00
        2.096    1.54276E+00
        2.144    1.53232E+00
        2.192    1.48699E+00
        2.240    1.41696E+00
        2.288    1.33081E+00
        2.336    1.23538E+00
        2.384    1.13597E+00
        2.432    1.03647E+00
        2.480    9.39657E-01
        2.528    8.47408E-01
        2.576    7.60892E-01
        2.624    6.80752E-01
        2.672    6.07249E-01
        2.720    5.40364E-01
        2.768    4.79892E-01
        2.816    4.25505E-01
        2.864    3.76801E-01
        2.912    3.33341E-01
        2.960    2.94672E-01
        3.008    2.60349E-01
        3.056    2.29941E-01
        3.104    2.03044E-01
        3.152    1.79283E-01
        3.200    1.58312E-01
        3.248    1.39817E-01
        3.296    1.23515E-01
        3.344    1.09150E-01
        3.392    9.64956E-02
        3.440    8.53486E-02
        3.488    7.55289E-02
        3.536    6.68775E-02
        3.584    5.92534E-02
        3.632    5.25326E-02
        3.680    4.66059E-02
        3.728    4.13772E-02
        3.776    3.67619E-02
        3.824    3.26861E-02
        3.872    2.90844E-02
        3.920    2.58999E-02
        3.968    2.30823E-02
        4.016    2.05878E-02
        4.064    1.83778E-02
        4.112    1.64184E-02
        4.160    1.46799E-02
        4.208    1.31363E-02
        4.256    1.17647E-02
        4.304    1.05450E-02
        4.352    9.45958E-03
        4.400    8.49283E-03
        4.448    7.63113E-03
        4.496    6.86246E-03
        4.544    6.17623E-03
        4.592    5.56311E-03
        4.640    5.01488E-03
        4.688    4.52428E-03
        4.736    4.08490E-03
        4.784    3.69109E-03
        4.832    3.33784E-03
        4.880    3.02073E-03
        4.928    2.73583E-03
        4.976    2.47968E-03
        5.024    2.24919E-03
        5.072    2.04164E-03
        5.120    1.85461E-03
        5.168    1.68593E-03
        5.216    1.53376E-03
        5.264    1.39625E-03
        5.312    1.27197E-03
        5.360    1.15955E-03
        5.408    1.05778E-03
        5.456    9.65608E-04
        5.504    8.82052E-04
        5.552    8.06258E-04
        5.600    7.37459E-04
        5.648    6.74964E-04
        5.696    6.18157E-04
        5.744    5.66488E-04
        5.792    5.19459E-04
        5.840    4.76625E-04
        5.888    4.37588E-04
        5.936    4.01988E-04
        5.984    3.69501E-04
        6.032    3.39837E-04
        6.080    3.12733E-04
        6.128    2.87954E-04
        6.176    2.65286E-04
        6.224    2.44538E-04
        6.272    2.25535E-04
        6.320    2.08120E-04
        6.368    1.92152E-04
        6.416    1.77501E-04
        6.464    1.64053E-04
        6.512    1.51700E-04
        6.560    1.40348E-04
        6.608    1.29910E-04
        6.656    1.20308E-04
        6.704    1.11469E-04
        6.752    1.03328E-04
        6.800    9.58274E-05
        6.848    8.89126E-05
        6.896    8.25345E-05
        6.944    7.66487E-05
        6.992    7.12146E-05
        7.040    6.61949E-05
        7.088    6.15560E-05
        7.136    5.72667E-05
        7.184    5.32990E-05
        7.232    4.96272E-05
        7.280    4.62274E-05
        7.328    4.30781E-05
        7.376    4.01597E-05
        7.424    3.74540E-05
        7.472    3.49444E-05
        7.520    3.26156E-05
        7.568    3.04538E-05
        7.616    2.84461E-05
        7.664    2.65808E-05
        7.712    2.48470E-05
        7.760    2.32349E-05
        7.808    2.17352E-05
        7.856    2.03397E-05
        7.904    1.90405E-05
        7.952    1.78305E-05
        8.000    1.67032E-05
        8.048    1.56526E-05
        8.096    1.46730E-05
        8.144    1.37593E-05
        8.192    1.29068E-05
        8.240    1.21442E-05
        8.288    1.13995E-05
        8.336    1.07040E-05
        8.384    1.00540E-05
        8.432    9.44654E-06
        8.480    8.87850E-06
        8.528    8.34717E-06
        8.576    7.85002E-06
        8.624    7.38470E-06
        8.672    6.94902E-06
        8.720    6.54096E-06
        8.768    6.15866E-06
        8.816    5.80037E-06
        8.864    5.46449E-06
        8.912    5.14950E-06
        8.960    4.85401E-06
        9.008    4.57676E-06
        9.056    4.31651E-06
        9.104    4.07216E-06
        9.152    3.84268E-06
        9.200    3.62709E-06
        9.248    3.42449E-06
        9.296    3.23405E-06
        9.344    3.05498E-06
        9.392    2.88657E-06
        9.440    2.72813E-06
        9.488    2.57903E-06
        9.536    2.43868E-06
        9.584    2.30653E-06
        9.632    2.18208E-06
        9.680    2.06483E-06
        9.728    1.95436E-06
        9.776    1.85022E-06
        9.824    1.75205E-06
        9.872    1.65947E-06
        9.920    1.57215E-06
        9.968    1.48975E-06
       10.016    1.41200E-06
       10.064    1.33860E-06
       10.112    1.26930E-06
       10.160    1.20385E-06
       10.208    1.14202E-06
       10.256    1.08360E-06
       10.304    1.02839E-06
       10.352    9.76199E-07
       10.400    9.26853E-07
       10.448    8.80183E-07
       10.496    8.36035E-07
       10.544    7.94265E-07
       10.592    7.54735E-07
       10.640    7.17316E-07
       10.688    6.81889E-07
       10.736    6.48339E-07
       10.784    6.16561E-07
       10.832    5.86455E-07
       10.880    5.57926E-07
       10.928    5.30887E-07
       10.976    5.05254E-07
       11.024    4.80950E-07
       11.072    4.57899E-07
       11.120    4.36035E-07
       11.168    4.15291E-07
       11.216    3.95606E-07
       11.264    3.88771E-07
       11.312    3.70562E-07
       11.360    3.53269E-07
       11.408    3.36842E-07
       11.456    3.21236E-07
       11.504    3.06406E-07
       11.552    2.92312E-07
       11.600    2.78914E-07
       11.648    2.66175E-07
       11.696    2.54062E-07
       11.744    2.42540E-07
       11.792    2.31580E-07
       11.840    2.21151E-07
       11.888    2.11227E-07
       11.936    2.01781E-07
       11.984    1.92788E-07
       12.032    1.84226E-07
       12.080    1.76073E-07
       12.128    1.68307E-07
       12.176    1.60909E-07
       12.224    1.53860E-07
       12.272    1.47143E-07
       12.320    1.40740E-07
       12.368    1.34637E-07
       12.416    1.28818E-07
       12.464    1.23269E-07
       12.512    1.17977E-07
       12.560    1.12929E-07
       12.608    1.08113E-07
       12.656    1.03517E-07
       12.704    9.91313E-08
       12.752    9.49451E-08
       12.800    9.09487E-08
       12.848    8.71330E-08
       12.896    8.34892E-08
       12.944    8.00091E-08
       12.992    7.66848E-08
       13.040    7.35087E-08
       13.088    7.04740E-08
       13.136    6.75739E-08
       13.184    6.48019E-08
       13.232    6.21520E-08
       13.280    5.96185E-08
       13.328    5.71960E-08
       13.376    5.48791E-08
       13.424    5.26631E-08
       13.472    5.05432E-08
       13.520    4.85149E-08
       13.568    4.65741E-08
       13.616    4.47167E-08
       13.664    4.29388E-08
       13.712    4.12369E-08
       13.760    3.96074E-08
       13.808    3.80470E-08
       13.856    3.65528E-08
       13.904    3.51215E-08
       13.952    3.37505E-08
       14.000    3.24369E-08
       14.048    3.11783E-08
       14.096    2.99721E-08
       14.144    2.88161E-08
       14.192    2.77079E-08
       14.240    2.66456E-08
       14.288    2.56269E-08
       14.336    2.46502E-08
