          %pt            TT            TS            SS            SS2j            Tot
        0.200    9.30631E-01    6.43858E-05    1.20383E-03    1.79125E-06    9.31901E-01
        0.616    7.65594E-01    7.80243E-04    7.37524E-03    9.40271E-06    7.73759E-01
        1.032    4.91597E-01    3.43253E-03    1.94097E-02    2.17647E-05    5.14461E-01
        1.448    2.48148E-01    1.00318E-02    3.15205E-02    3.81713E-05    2.89739E-01
        1.864    1.04147E-01    2.04130E-02    2.70136E-02    5.61621E-05    1.51630E-01
        2.280    3.83410E-02    2.73062E-02    1.45009E-02    6.83029E-05    8.02164E-02
        2.696    1.28681E-02    2.15496E-02    7.98437E-03    6.66458E-05    4.24688E-02
        3.112    4.04151E-03    1.13572E-02    4.60031E-03    5.14287E-05    2.00504E-02
        3.528    1.20895E-03    5.95459E-03    2.75805E-03            NaN            NaN
        3.944    3.48634E-04    3.25988E-03    1.71229E-03            NaN            NaN
        4.360    9.77542E-05    1.86068E-03    1.09624E-03            NaN            NaN
        4.776    2.68140E-05    1.10201E-03    7.21202E-04            NaN            NaN
        5.192    7.22772E-06    6.74208E-04    4.86108E-04            NaN            NaN
        5.608    1.92095E-06    4.24467E-04    3.34833E-04            NaN            NaN
        6.024    5.04681E-07    2.74128E-04    2.35177E-04            NaN            NaN
        6.440    1.31331E-07    1.81116E-04    1.68121E-04            NaN            NaN
        6.856    3.39034E-08    1.22144E-04    1.22125E-04            NaN            NaN
        7.272    8.69326E-09    8.39182E-05    9.00166E-05            NaN            NaN
        7.688    2.21625E-09    5.86383E-05    6.72419E-05            NaN            NaN
        8.104    5.62215E-10    4.16118E-05    5.08483E-05            NaN            NaN
        8.520    1.42012E-10    2.99508E-05    3.88873E-05            NaN            NaN
        8.936    3.57374E-11    2.18408E-05    3.00505E-05            NaN            NaN
        9.352    8.96396E-12    1.61200E-05    2.34459E-05            NaN            NaN
        9.768    2.24194E-12    1.20312E-05    1.84561E-05            NaN            NaN
       10.184    5.59291E-13    9.07317E-06    1.46484E-05            NaN            NaN
       10.600    1.39208E-13    6.90875E-06    1.17153E-05            NaN            NaN
       11.016    3.45785E-14    5.30821E-06    9.43603E-06            NaN            NaN
       11.432    8.57347E-15    4.11289E-06    7.65025E-06            NaN            NaN
       11.848    2.12223E-15    3.21188E-06    6.24024E-06            NaN            NaN
       12.264    5.24545E-16    2.52678E-06    5.11879E-06            NaN            NaN
       12.680    1.29475E-16    2.00156E-06    4.22071E-06            NaN            NaN
       13.096    3.19197E-17    1.59578E-06    3.49683E-06            NaN            NaN
       13.512    7.86039E-18    1.27998E-06    2.90976E-06            NaN            NaN
       13.928    1.93368E-18    1.03249E-06    2.43090E-06            NaN            NaN
       14.344    4.75243E-19    8.37257E-07    2.03813E-06            NaN            NaN
       14.760    1.16700E-19    6.82282E-07    1.71431E-06            NaN            NaN
       15.176    2.86340E-20    5.58528E-07    1.44601E-06            NaN            NaN
       15.592    7.02058E-21    4.59142E-07    1.22268E-06            NaN            NaN
       16.008    1.72015E-21    3.78890E-07    1.03597E-06            NaN            NaN
