          %pt            TT            TS            SS            SS2j            Tot
        0.200    9.30631E-01    5.81003E-06    4.72030E-05    6.64125E-10    9.30684E-01
        0.616    7.65594E-01    5.61499E-04    2.32885E-03    1.81075E-07    7.68485E-01
        1.032    4.91597E-01    3.34054E-03    1.27188E-02    1.55994E-06    5.07657E-01
        1.448    2.48148E-01    1.00164E-02    2.76479E-02    4.79797E-06    2.85817E-01
        1.864    1.04147E-01    2.04097E-02    2.61768E-02    9.83216E-06    1.50743E-01
        2.280    3.83410E-02    2.73054E-02    1.44208E-02    1.57353E-05    8.00829E-02
        2.696    1.28681E-02    2.15494E-02    7.97881E-03    2.00451E-05    4.24164E-02
        3.112    4.04151E-03    1.13571E-02    4.60002E-03    1.65345E-05    2.00152E-02
        3.528    1.20895E-03    5.95458E-03    2.75804E-03    7.53253E-06    9.92910E-03
        3.944    3.48634E-04    3.25988E-03    1.71229E-03    3.59490E-06    5.32440E-03
        4.360    9.77542E-05    1.86068E-03    1.09624E-03    1.79032E-06    3.05646E-03
        4.776    2.68140E-05    1.10201E-03    7.21202E-04    9.26842E-07    1.85095E-03
        5.192    7.22772E-06    6.74208E-04    4.86108E-04    4.97014E-07    1.16804E-03
        5.608    1.92095E-06    4.24467E-04    3.34833E-04    2.75181E-07    7.61496E-04
        6.024    5.04681E-07    2.74128E-04    2.35177E-04    1.56857E-07    5.09966E-04
        6.440    1.31331E-07    1.81116E-04    1.68121E-04    9.18144E-08    3.49460E-04
        6.856    3.39034E-08    1.22144E-04    1.22125E-04    5.50617E-08    2.44358E-04
        7.272    8.69326E-09    8.39182E-05    9.00166E-05    3.37629E-08    1.73977E-04
        7.688    2.21625E-09    5.86383E-05    6.72419E-05    2.11298E-08    1.25904E-04
        8.104    5.62215E-10    4.16118E-05    5.08483E-05    1.34745E-08    9.24741E-05
        8.520    1.42012E-10    2.99508E-05    3.88873E-05    8.74312E-09    6.88469E-05
        8.936    3.57374E-11    2.18408E-05    3.00505E-05    5.76483E-09    5.18971E-05
        9.352    8.96396E-12    1.61200E-05    2.34459E-05    3.85798E-09    3.95697E-05
        9.768    2.24194E-12    1.20312E-05    1.84561E-05    2.61772E-09    3.04900E-05
       10.184    5.59291E-13    9.07317E-06    1.46484E-05    1.79908E-09    2.37233E-05
       10.600    1.39208E-13    6.90875E-06    1.17153E-05    1.25128E-09    1.86253E-05
       11.016    3.45785E-14    5.30821E-06    9.43603E-06    8.79991E-10    1.47451E-05
       11.432    8.57347E-15    4.11289E-06    7.65025E-06    6.25307E-10    1.17638E-05
       11.848    2.12223E-15    3.21188E-06    6.24024E-06    4.48635E-10    9.45257E-06
       12.264    5.24545E-16    2.52678E-06    5.11879E-06    3.24784E-10    7.64590E-06
       12.680    1.29475E-16    2.00156E-06    4.22071E-06    2.37099E-10    6.22251E-06
       13.096    3.19197E-17    1.59578E-06    3.49683E-06    1.74441E-10    5.09278E-06
       13.512    7.86039E-18    1.27998E-06    2.90976E-06    1.29274E-10    4.18987E-06
       13.928    1.93368E-18    1.03249E-06    2.43090E-06    9.64483E-11    3.46348E-06
       14.344    4.75243E-19    8.37257E-07    2.03813E-06    7.24070E-11    2.87546E-06
       14.760    1.16700E-19    6.82282E-07    1.71431E-06    5.46715E-11    2.39664E-06
       15.176    2.86340E-20    5.58528E-07    1.44601E-06    4.14985E-11    2.00458E-06
       15.592    7.02058E-21    4.59142E-07    1.22268E-06    3.16517E-11    1.68185E-06
       16.008    1.72015E-21    3.78890E-07    1.03597E-06    2.42472E-11    1.41488E-06
       16.424    4.21199E-22    3.13752E-07    8.79224E-07    1.86481E-11    1.19300E-06
       16.840    1.03075E-22    2.60619E-07    7.47135E-07    1.43920E-11    1.00777E-06
       17.256    2.52104E-23    2.17071E-07    6.35425E-07    1.11413E-11    8.52507E-07
       17.672    6.16289E-24    1.81218E-07    5.40639E-07    8.64740E-12    7.21866E-07
       18.088    1.50586E-24    1.51572E-07    4.59975E-07    6.72622E-12    6.11554E-07
       18.504    3.67780E-25    1.26959E-07    3.91147E-07    5.24078E-12    5.18111E-07
       18.920    8.97867E-26    1.06445E-07    3.32284E-07    4.08840E-12    4.38733E-07
       19.336    2.19112E-26    8.92857E-08    2.81846E-07    3.19178E-12    3.71135E-07
       19.752    5.34514E-27    7.48855E-08    2.38563E-07    2.49237E-12    3.13451E-07
       20.168    1.30347E-27    6.27644E-08    2.01381E-07    1.94563E-12    2.64148E-07
