          %pt            TT            TS            SS            SS2j            Tot
        0.050    1.28141E-01    6.38012E-05    6.15500E-04    2.55592E-03    1.31376E-01
        0.250    1.26059E-01    1.70423E-03    3.30210E-03    1.35564E-02    1.44622E-01
        0.449    1.20644E-01    8.74576E-03    8.99751E-03    3.45747E-02    1.72962E-01
        0.649    1.10823E-01    2.55246E-02    1.75284E-02    6.39990E-02    2.17875E-01
        0.848    9.64843E-02    5.70350E-02    2.83323E-02    9.96485E-02    2.81500E-01
        1.048    7.91473E-02    1.10193E-01    4.11493E-02    1.40689E-01    3.71178E-01
        1.247    6.12055E-02    1.93471E-01    5.59031E-02    1.87156E-01    4.97736E-01
        1.447    4.48099E-02    3.13979E-01    7.22848E-02    2.38805E-01    6.69879E-01
        1.646    3.12410E-02    4.72501E-01    8.93687E-02    2.94097E-01    8.87208E-01
        1.846    2.08688E-02    6.58179E-01    1.05458E-01    3.49720E-01    1.13423E+00
        2.045    1.34334E-02    8.45258E-01    1.18236E-01    4.00721E-01    1.37765E+00
        2.245    8.37542E-03    9.94550E-01    1.25212E-01    4.41165E-01    1.56930E+00
        2.444    5.08028E-03    1.06192E+00    1.24392E-01    4.65157E-01    1.65655E+00
        2.644    3.00935E-03    1.01484E+00    1.15053E-01    4.68053E-01    1.60095E+00
        2.843    1.74645E-03    8.55332E-01    9.84546E-02    4.47676E-01    1.40321E+00
        3.043    9.95681E-04    6.40733E-01    7.81555E-02    4.05346E-01    1.12523E+00
        3.242    5.58935E-04    4.58918E-01    5.93295E-02    3.31453E-01    8.50260E-01
        3.442    3.09547E-04    3.29005E-01    4.51464E-02    2.26148E-01    6.00609E-01
        3.641    1.69408E-04    2.37905E-01    3.46985E-02    1.56325E-01    4.29098E-01
        3.841    9.17480E-05    1.73850E-01    2.69187E-02    1.09400E-01    3.10260E-01
        4.040    4.92309E-05    1.28418E-01    2.10667E-02    7.74559E-02    2.26990E-01
        4.240    2.62005E-05    9.58563E-02    1.66226E-02    5.54450E-02    1.67950E-01
        4.439    1.38419E-05    7.22660E-02    1.32174E-02    4.01027E-02    1.25600E-01
        4.639    7.26501E-06    5.49949E-02    1.05861E-02    2.92913E-02    9.48795E-02
        4.838    3.79071E-06    4.22225E-02    8.53656E-03    2.15938E-02    7.23567E-02
        5.038    1.96744E-06    3.26867E-02    6.92823E-03    1.60594E-02    5.56763E-02
        5.237    1.01626E-06    2.55029E-02    5.65715E-03    1.20431E-02    4.32042E-02
        5.437    5.22662E-07    2.00450E-02    4.64586E-03    9.10276E-03    3.37942E-02
        5.636    2.67748E-07    1.58650E-02    3.83615E-03    6.93204E-03    2.66335E-02
        5.836    1.36669E-07    1.26395E-02    3.18394E-03    5.31665E-03    2.11402E-02
        6.035    6.95330E-08    1.01325E-02    2.65559E-03    4.10545E-03    1.68936E-02
        6.235    3.52701E-08    8.17092E-03    2.22525E-03    3.19071E-03    1.35869E-02
        6.434    1.78412E-08    6.62610E-03    1.87293E-03    2.49510E-03    1.09942E-02
        6.634    9.00200E-09    5.40207E-03    1.58306E-03    1.96262E-03    8.94776E-03
        6.833    4.53147E-09    4.42661E-03    1.34345E-03    1.55249E-03    7.32256E-03
        7.033    2.27615E-09    3.64489E-03    1.14450E-03    1.23468E-03    6.02407E-03
        7.232    1.14102E-09    3.01514E-03    9.78603E-04    9.86992E-04    4.98073E-03
        7.432    5.70930E-10    2.50524E-03    8.39695E-04    7.92888E-04    4.13783E-03
        7.631    2.85182E-10    2.09037E-03    7.22931E-04    6.39971E-04    3.45328E-03
        7.831    1.42222E-10    1.75128E-03    6.24413E-04    5.18880E-04    2.89457E-03
        8.030    7.08212E-11    1.47287E-03    5.40988E-04    4.22544E-04    2.43640E-03
        8.230    3.52171E-11    1.24332E-03    4.70101E-04    3.45536E-04    2.05895E-03
        8.429    1.74895E-11    1.05329E-03    4.09666E-04    2.83696E-04    1.74665E-03
        8.629    8.67507E-12    8.95351E-04    3.57978E-04    2.33825E-04    1.48715E-03
        8.828    4.29804E-12    7.63612E-04    3.13635E-04    1.93439E-04    1.27069E-03
        9.028    2.12717E-12    6.53342E-04    2.75481E-04    1.60604E-04    1.08943E-03
        9.227    1.05171E-12    5.60729E-04    2.42557E-04    1.33805E-04    9.37092E-04
        9.427    5.19490E-13    4.82703E-04    2.14069E-04    1.11851E-04    8.08623E-04
        9.626    2.56371E-13    4.16769E-04    1.89354E-04    9.38001E-05    6.99923E-04
        9.826    1.26414E-13    3.60873E-04    1.67856E-04    7.89080E-05    6.07637E-04
       10.025    6.22837E-14    3.13347E-04    1.49111E-04    6.65802E-05    5.29038E-04
       10.225    3.06638E-14    2.72821E-04    1.32726E-04    5.63414E-05    4.61889E-04
       10.424    1.50858E-14    2.38175E-04    1.18372E-04    4.78117E-05    4.04358E-04
       10.624    7.41684E-15    2.08458E-04    1.05768E-04    4.06840E-05    3.54910E-04
       10.823    3.64410E-15    1.82923E-04    9.46773E-05    3.47103E-05    3.12311E-04
       11.023    1.78936E-15    1.60916E-04    8.48974E-05    2.96893E-05    2.75503E-04
       11.222    8.78120E-16    1.41899E-04    7.62558E-05    2.54574E-05    2.43612E-04
       11.422    4.30698E-16    1.25428E-04    6.86049E-05    2.18812E-05    2.15914E-04
       11.621    2.11137E-16    1.11116E-04    6.18181E-05    1.88509E-05    1.91786E-04
       11.821    1.03452E-16    9.86715E-05    5.57867E-05    1.62771E-05    1.70735E-04
       12.020    5.06653E-17    8.78100E-05    5.04168E-05    1.40854E-05    1.52312E-04
       12.220    2.48019E-17    7.83138E-05    4.56276E-05    1.22147E-05    1.36156E-04
       12.419    1.21359E-17    6.99844E-05    4.13490E-05    1.06143E-05    1.21948E-04
