          %pt            TT            TS            SS            SS2j            Tot
        0.050    9.01885E-01    2.13190E-04    4.29566E-04    5.35716E-04    9.03063E-01
        0.250    8.73930E-01    1.76326E-03    1.74352E-03    2.23439E-03    8.79671E-01
        0.449    8.09756E-01    5.62365E-03    4.06932E-03    4.96994E-03    8.24419E-01
        0.649    7.11988E-01    1.35660E-02    7.42936E-03    8.67242E-03    7.41656E-01
        0.848            NaN            NaN    1.16236E-02    1.31143E-02            NaN
        1.048            NaN            NaN    1.65453E-02    1.81920E-02            NaN
        1.247            NaN            NaN    2.21618E-02    2.38918E-02            NaN
        1.447            NaN            NaN    2.83759E-02    3.01704E-02            NaN
        1.646            NaN            NaN    3.48891E-02    3.68455E-02            NaN
        1.846            NaN            NaN    4.11375E-02    4.35443E-02            NaN
        2.045            NaN            NaN    4.63300E-02    4.97191E-02            NaN
        2.245            NaN            NaN    4.95878E-02    5.47238E-02            NaN
        2.444            NaN            NaN    5.01626E-02    5.79307E-02            NaN
        2.644            NaN            NaN    4.76977E-02    5.88699E-02            NaN
        2.843            NaN            NaN    4.24742E-02    5.73658E-02            NaN
        3.043            NaN            NaN    3.55514E-02    5.36476E-02            NaN
        3.242            NaN            NaN    2.86114E-02    4.65837E-02            NaN
        3.442            NaN            NaN    2.29772E-02    3.48400E-02            NaN
        3.641            NaN            NaN    1.85730E-02    2.62850E-02            NaN
        3.841            NaN            NaN    1.51063E-02    1.99956E-02            NaN
        4.040            NaN            NaN    1.23594E-02    1.53314E-02            NaN
        4.240            NaN            NaN    1.01690E-02    1.18433E-02            NaN
        4.439            NaN            NaN    8.41161E-03    9.21405E-03            NaN
        4.639            NaN            NaN    6.99346E-03    7.21703E-03            NaN
        4.838            NaN            NaN    5.84269E-03    5.68922E-03            NaN
        5.038            NaN            NaN    4.90391E-03    4.51230E-03            NaN
        5.237            NaN            NaN    4.13417E-03    3.59969E-03            NaN
        5.437            NaN            NaN    3.49995E-03    2.88759E-03            NaN
        5.636            NaN            NaN    2.97497E-03    2.32860E-03            NaN
        5.836            NaN            NaN    2.53848E-03    1.88729E-03            NaN
        6.035            NaN            NaN    2.17400E-03    1.53697E-03            NaN
        6.235            NaN            NaN    1.86842E-03    1.25743E-03            NaN
        6.434            NaN            NaN    1.61121E-03    1.03325E-03            NaN
